"Species","Target","Molecule","Dose (mg/kg)","Parameter varied","Variation (fold)","Varied parameter value","Parameter unit","Reference terminal CL (L/day)","Varied terminal CL (L/day)","Delta terminal CL (%)","Normalized sensitivity coefficient","Normalized sensitivity index (no sensitivity = 1)"
"Human","IL-6R","Tocilizumab",8,"Target reference concentration",0.1,1e-04,"µmol/l",0.690483399169407,0.292016363843247,-57.7084164232597,0.373746052716332,1.37374605271633
"Human","IL-6R","Tocilizumab",8,"Target reference concentration",10,0.01,"µmol/l",0.690483399169407,1.41271295051539,104.597670590598,0.310900684823804,1.3109006848238
"Human","IL-6R","Tocilizumab",8,"kdeg",0.1,0.000466666666666667,"1/min",0.690483399169407,0.295981019023946,-57.1342309778937,0.367889380520909,1.36788938052091
"Human","IL-6R","Tocilizumab",8,"kdeg",10,0.0466666666666667,"1/min",0.690483399169407,1.30933805027059,89.6262896176234,0.277898547371125,1.27789854737113
"Human","IL-6R","Tocilizumab",8,"kint",0.1,0.000466666666666667,"1/min",0.690483399169407,0.633182429870898,-8.2986744311937,0.0376243864340457,1.03762438643405
"Human","IL-6R","Tocilizumab",8,"kint",10,0.0466666666666667,"1/min",0.690483399169407,0.699599696328225,1.32027752872617,0.00569637070624497,1.00569637070624
"Human","PD-1","Nivolumab",1,"Target reference concentration",0.1,7.138e-06,"µmol/l",0.230770305272161,0.230769709128496,-0.000258327718671847,1.12190447651413e-06,1.00000112190448
"Human","PD-1","Nivolumab",1,"Target reference concentration",10,0.0007138,"µmol/l",0.230770305272161,0.230769709128496,-0.000258327718671847,-1.12190447651413e-06,0.999998878095523
"Human","PD-1","Nivolumab",1,"kdeg",0.1,4.5e-05,"1/min",0.230770305272161,0.230769709128496,-0.000258327718671847,1.12190447651413e-06,1.00000112190448
"Human","PD-1","Nivolumab",1,"kdeg",10,0.0045,"1/min",0.230770305272161,0.230769709128496,-0.000258327718671847,-1.12190447651413e-06,0.999998878095523
"Human","PD-1","Nivolumab",1,"kint",0.1,4.5e-05,"1/min",0.230770305272161,0.230769709128496,-0.000258327718671847,1.12190447651413e-06,1.00000112190448
"Human","PD-1","Nivolumab",1,"kint",10,0.0045,"1/min",0.230770305272161,0.230769709128496,-0.000258327718671847,-1.12190447651413e-06,0.999998878095523
"Human","PD-1","Nivolumab",3,"Target reference concentration",0.1,7.138e-06,"µmol/l",0.231166628609807,0.231166976539805,0.000150510478102994,-6.53658209175582e-07,0.999999346341791
"Human","PD-1","Nivolumab",3,"Target reference concentration",10,0.0007138,"µmol/l",0.231166628609807,0.231166976539805,0.000150510478102994,6.53658209175581e-07,1.00000065365821
