"Species","Target","Molecule","Parameter varied","Variation (fold)","Mean delta terminal CL (%)","Mean normalized sensitivity coefficient","Mean normalized sensitivity index (no sensitivity = 1)","Doses averaged (n)"
"Human","IL-6R","Tocilizumab","Target reference concentration",0.1,-57.7084164232597,0.373746052716332,1.37374605271633,1
"Human","IL-6R","Tocilizumab","Target reference concentration",10,104.597670590598,0.310900684823804,1.3109006848238,1
"Human","IL-6R","Tocilizumab","kdeg",0.1,-57.1342309778937,0.367889380520909,1.36788938052091,1
"Human","IL-6R","Tocilizumab","kdeg",10,89.6262896176234,0.277898547371125,1.27789854737113,1
"Human","IL-6R","Tocilizumab","kint",0.1,-8.2986744311937,0.0376243864340457,1.03762438643405,1
"Human","IL-6R","Tocilizumab","kint",10,1.32027752872617,0.00569637070624497,1.00569637070624,1
"Human","PD-1","Nivolumab","Target reference concentration",0.1,-1.36738202038966e-05,5.93850028277998e-08,1.000000059385,6
"Human","PD-1","Nivolumab","Target reference concentration",10,-1.36738202038966e-05,-5.93850028277998e-08,0.999999940614997,6
"Human","PD-1","Nivolumab","kdeg",0.1,-1.36738202038966e-05,5.93850028277998e-08,1.000000059385,6
"Human","PD-1","Nivolumab","kdeg",10,-1.36738202038966e-05,-5.93850028277998e-08,0.999999940614997,6
"Human","PD-1","Nivolumab","kint",0.1,-1.36738202038966e-05,5.93850028277998e-08,1.000000059385,6
"Human","PD-1","Nivolumab","kint",10,-1.36738202038966e-05,-5.93850028277998e-08,0.999999940614997,6
"Human","PD-1","Pembrolizumab","Target reference concentration",0.1,-2.10193103311607e-05,9.1286733032377e-08,1.00000009128673,2
"Human","PD-1","Pembrolizumab","Target reference concentration",10,-2.10193103311607e-05,-9.12867330323769e-08,0.999999908713267,2
"Human","PD-1","Pembrolizumab","kdeg",0.1,-2.10193103311607e-05,9.1286733032377e-08,1.00000009128673,2
"Human","PD-1","Pembrolizumab","kdeg",10,-2.10193103311607e-05,-9.12867330323769e-08,0.999999908713267,2
"Human","PD-1","Pembrolizumab","kint",0.1,-2.10193103311607e-05,9.1286733032377e-08,1.00000009128673,2
"Human","PD-1","Pembrolizumab","kint",10,-2.10193103311607e-05,-9.12867330323769e-08,0.999999908713267,2
"Human","PD-L1","Atezolizumab","Target reference concentration",0.1,-0.222421804208504,0.000967921026587161,1.00096792102659,5
"Human","PD-L1","Atezolizumab","Target reference concentration",10,2.24654511920909,0.00956381632495251,1.00956381632495,5
"Human","PD-L1","Atezolizumab","kdeg",0.1,-0.205328760835519,0.000893329496317556,1.00089332949632,5
"Human","PD-L1","Atezolizumab","kdeg",10,0.522982531784111,0.00226507882631847,1.00226507882632,5
"Human","PD-L1","Atezolizumab","kint",0.1,-0.133054625924243,0.000578815820391468,1.00057881582039,5
"Human","PD-L1","Atezolizumab","kint",10,0.044707054437243,0.000194019673890532,1.00019401967389,5
"Human","PD-L1","Avelumab","Target reference concentration",0.1,-0.352186049287748,0.00153504001414323,1.00153504001414,4
"Human","PD-L1","Avelumab","Target reference concentration",10,3.62691789883408,0.0151965513988467,1.01519655139885,4
"Human","PD-L1","Avelumab","kdeg",0.1,-0.345929609464651,0.00150767234267562,1.00150767234268,4
"Human","PD-L1","Avelumab","kdeg",10,3.53037160347929,0.0148076356659488,1.01480763566595,4
"Human","PD-L1","Avelumab","kint",0.1,0.000951378346975007,-4.13170874565434e-06,0.999995868291254,4
"Human","PD-L1","Avelumab","kint",10,0.00100308643461444,4.35626888125964e-06,1.00000435626888,4
"Human","TNFA","Adalimumab","Target reference concentration",0.1,-5.46672994206077e-06,2.37425348376912e-08,1.00000002374253,5
"Human","TNFA","Adalimumab","Target reference concentration",10,-5.46672994206077e-06,-2.37425348376912e-08,0.999999976257465,5
"Human","TNFA","Adalimumab","kdeg",0.1,-5.46672994206077e-06,2.37425348376912e-08,1.00000002374253,5
"Human","TNFA","Adalimumab","kdeg",10,-5.46672994206077e-06,-2.37425348376912e-08,0.999999976257465,5
"Human","TNFA","Adalimumab","kint",0.1,-5.46672994206077e-06,2.37425348376912e-08,1.00000002374253,5
"Human","TNFA","Adalimumab","kint",10,-5.46672994206077e-06,-2.37425348376912e-08,0.999999976257465,5
"Human","TNFA","Golimumab","Target reference concentration",0.1,0.00139120578768563,-6.04170742130712e-06,0.999993958292579,6
"Human","TNFA","Golimumab","Target reference concentration",10,0.00139120578768563,6.04170742130712e-06,1.00000604170742,6
"Human","TNFA","Golimumab","kdeg",0.1,0.00139120578768563,-6.04170742130712e-06,0.999993958292579,6
"Human","TNFA","Golimumab","kdeg",10,0.00139120578768563,6.04170742130712e-06,1.00000604170742,6
"Human","TNFA","Golimumab","kint",0.1,0.00139120578768563,-6.04170742130712e-06,0.999993958292579,6
"Human","TNFA","Golimumab","kint",10,0.00139120578768563,6.04170742130712e-06,1.00000604170742,6
"Human","VEGFA","Bevacizumab","Target reference concentration",0.1,-5.54453287726631e-06,2.40796010008299e-08,1.0000000240796,1
"Human","VEGFA","Bevacizumab","Target reference concentration",10,-5.54453287726631e-06,-2.40796010008299e-08,0.999999975920399,1
"Human","VEGFA","Bevacizumab","kdeg",0.1,-5.54453287726631e-06,2.40796010008299e-08,1.0000000240796,1
"Human","VEGFA","Bevacizumab","kdeg",10,-5.54453287726631e-06,-2.40796010008299e-08,0.999999975920399,1
"Human","VEGFA","Bevacizumab","kint",0.1,-5.54453287726631e-06,2.40796010008299e-08,1.0000000240796,1
"Human","VEGFA","Bevacizumab","kint",10,-5.54453287726631e-06,-2.40796010008299e-08,0.999999975920399,1
"Monkey","IL-6R","Tocilizumab","Target reference concentration",0.1,-26.1376517180476,0.131576889080357,1.13157688908036,1
