"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.08312468
0,10,0.08114966
0,15,0.079622746
0,20,0.07838296
0,25,0.07735728
0,30,0.07649499
0,35,0.07575994
0,40,0.075125776
0,45,0.07457288
0,50,0.07408637
0,55,0.073654674
0,60,0.07326869
0,65,0.07292111
0,70,0.072606005
0,75,0.07231849
0,80,0.07205453
0,85,0.07181075
0,90,0.07158433
0,95,0.07137287
0,100,0.07117433
0,105,0.070987016
0,110,0.07080945
0,115,0.07064038
0,120,0.07047874
0,125,0.070323616
0,130,0.07017422
0,135,0.07002988
0,140,0.069890015
0,145,0.06975412
0,150,0.06962178
0,155,0.069492616
0,160,0.0693663
0,165,0.06924255
0,170,0.06912114
0,175,0.06900185
0,180,0.0688845
0,185,0.068768926
0,190,0.06865499
0,195,0.06854258
0,200,0.06843156
0,205,0.06832187
0,210,0.0682134
0,215,0.06810609
0,220,0.06799987
0,225,0.067894675
0,230,0.06779046
0,235,0.067687176
0,240,0.067584775
0,245,0.067483224
0,250,0.067382485
0,255,0.06728252
0,260,0.067183316
0,265,0.067084834
0,270,0.06698705
0,275,0.06688995
0,280,0.0667935
0,285,0.06669769
0,290,0.0666025
0,295,0.06650791
0,300,0.06641391
0,305,0.06632048
0,310,0.06622761
0,315,0.06613528
0,320,0.06604349
0,325,0.06595221
0,330,0.06586145
0,335,0.065771185
0,340,0.06568141
0,345,0.06559212
0,350,0.06550329
0,355,0.065414935
0,360,0.065327026
0,365,0.06523956
0,370,0.06515254
0,375,0.06506595
0,380,0.064979784
0,385,0.06489403
0,390,0.06480869
0,395,0.06472375
0,400,0.06463922
0,405,0.06455508
0,410,0.06447132
0,415,0.06438795
0,420,0.064304955
0,425,0.06422233
0,430,0.064140074
0,435,0.064058185
0,440,0.063976645
0,445,0.063895464
0,450,0.06381463
0,455,0.06373415
0,460,0.063654006
0,465,0.063574195
0,470,0.06349472
0,475,0.06341558
0,480,0.06333677
0,485,0.063258275
0,490,0.0631801
0,495,0.063102245
0,500,0.0630247
0,505,0.062947474
0,510,0.06287055
0,515,0.062793925
0,520,0.06271761
0,525,0.06264159
0,530,0.06256587
0,535,0.062490445
0,540,0.06241531
0,545,0.06234046
0,550,0.0622659
0,555,0.06219162
0,560,0.062117625
0,565,0.06204391
0,570,0.06197047
0,575,0.061897304
0,580,0.06182441
0,585,0.06175179
0,590,0.061679438
0,595,0.061607353
0,600,0.06153553
0,605,0.06146397
0,610,0.061392672
0,615,0.061321635
0,620,0.06125085
0,625,0.061180323
0,630,0.06111005
0,635,0.06104003
0,640,0.060970258
0,645,0.060900733
0,650,0.060831457
0,655,0.060762424
0,660,0.060693637
0,665,0.06062509
0,670,0.060556784
0,675,0.06048872
0,680,0.06042089
0,685,0.060353298
0,690,0.060285937
0,695,0.06021881
0,700,0.06015192
0,705,0.060085256
0,710,0.06001882
0,715,0.059952613
0,720,0.059886634
0,780,0.059112053
0,782.1429,0.059084963
0,784.2857,0.05905791
0,786.4286,0.059030894
0,788.5714,0.05900392
0,790.7143,0.05897698
0,792.8571,0.058950085
0,795,0.058923222
0,797.1429,0.0588964
0,799.2857,0.058869615
0,801.4286,0.058842868
0,803.5714,0.058816157
0,805.7143,0.058789488
0,807.8571,0.058762852
0,810,0.058736257
0,812.1429,0.0587097
0,814.2857,0.058683176
0,816.4286,0.058656693
0,818.5714,0.058630247
0,820.7143,0.058603834
0,822.8571,0.058577463
0,825,0.05855113
0,827.1429,0.05852483
0,829.2857,0.058498565
0,831.4286,0.058472343
0,833.5714,0.058446154
0,835.7143,0.05842
0,837.8571,0.058393884
0,840,0.058367807
0,842.1429,0.058341764
0,844.2857,0.058315758
0,846.4286,0.058289785
0,848.5714,0.058263853
0,850.7143,0.058237955
0,852.8571,0.05821209
0,855,0.058186267
0,857.1429,0.058160473
0,859.2857,0.05813472
0,861.4286,0.058109
0,863.5714,0.05808332
0,865.7143,0.05805767
0,867.8571,0.058032054
0,870,0.05800648
0,872.1429,0.057980936
0,874.2857,0.05795543
0,876.4286,0.05792996
0,878.5714,0.057904523
0,880.7143,0.05787912
0,882.8571,0.057853755
0,885,0.057828423
0,887.1429,0.057803124
0,889.2857,0.057777863
0,891.4286,0.057752635
0,893.5714,0.05772744
0,895.7143,0.05770228
0,897.8571,0.057677157
0,900,0.057652067
0,902.1429,0.05762701
0,904.2857,0.057601992
0,906.4286,0.057577003
0,908.5714,0.05755205
0,910.7143,0.057527132
0,912.8571,0.057502247
0,915,0.057477396
0,917.1429,0.057452578
0,919.2857,0.057427794
0,921.4286,0.057403043
0,923.5714,0.057378326
0,925.7143,0.05735364
0,927.8571,0.057328995
0,930,0.05730438
0,932.1429,0.057279795
0,934.2857,0.057255246
0,936.4286,0.05723073
0,938.5714,0.057206247
0,940.7143,0.057181794
0,942.8571,0.05715738
0,945,0.057132993
0,947.1429,0.05710864
0,949.2857,0.057084322
0,951.4286,0.057060037
0,953.5714,0.057035785
0,955.7143,0.057011563
0,957.8571,0.056987375
0,960,0.05696322
0,962.1429,0.056939095
0,964.2857,0.056915008
0,966.4286,0.056890946
0,968.5714,0.05686692
0,970.7143,0.056842927
0,972.8571,0.056818966
0,975,0.056795035
0,977.1429,0.056771137
0,979.2857,0.056747273
0,981.4286,0.05672344
0,983.5714,0.056699634
0,985.7143,0.056675863
0,987.8571,0.056652125
0,990,0.056628417
0,992.1429,0.056604743
0,994.2857,0.0565811
0,996.4286,0.056557484
0,998.5714,0.056533903
0,1000.7143,0.05651035
0,1002.8571,0.056486834
0,1005,0.056463346
0,1007.1429,0.05643989
0,1009.2857,0.056416463
0,1011.4286,0.05639307
0,1013.5714,0.056369707
0,1015.7143,0.056346375
0,1017.8571,0.056323074
0,1020,0.056299802
0,1022.1429,0.05627656
0,1024.2858,0.05625335
0,1026.4286,0.056230173
0,1028.5714,0.056207024
0,1030.7142,0.056183904
0,1032.8572,0.05616082
0,1035,0.056137763
0,1037.1428,0.056114733
0,1039.2858,0.056091737
0,1041.4286,0.05606877
0,1043.5714,0.056045834
0,1045.7142,0.05602293
0,1047.8572,0.056000054
0,1050,0.055977207
0,1052.1428,0.055954393
0,1054.2858,0.055931605
0,1056.4286,0.055908848
0,1058.5714,0.055886123
0,1060.7142,0.055863425
0,1062.8572,0.055840757
0,1065,0.05581812
0,1067.1428,0.055795513
0,1069.2858,0.055772934
0,1071.4286,0.055750385
0,1073.5714,0.055727866
0,1075.7142,0.055705372
0,1077.8572,0.055682912
0,1080,0.05566048
0,1082.1428,0.05563808
0,1084.2858,0.055615705
0,1086.4286,0.05559336
0,1088.5714,0.055571042
0,1090.7142,0.055548757
0,1092.8572,0.0555265
0,1095,0.05550427
0,1097.1428,0.05548207
0,1099.2858,0.055459898
0,1101.4286,0.055437755
0,1103.5714,0.05541564
0,1105.7142,0.055393554
0,1107.8572,0.055371497
0,1110,0.05534947
0,1112.1428,0.05532747
0,1114.2858,0.0553055
0,1116.4286,0.055283554
0,1118.5714,0.055261638
0,1120.7142,0.055239752
0,1122.8572,0.055217896
0,1125,0.05519606
0,1127.1428,0.05517426
0,1129.2858,0.055152487
0,1131.4286,0.05513074
0,1133.5714,0.05510902
0,1135.7142,0.05508733
0,1137.8572,0.05506567
0,1140,0.055044033
0,1142.1428,0.055022426
0,1144.2858,0.055000845
0,1146.4286,0.054979295
0,1148.5714,0.05495777
0,1150.7142,0.05493627
0,1152.8572,0.054914802
0,1155,0.05489336
0,1157.1428,0.054871947
0,1159.2858,0.05485056
0,1161.4286,0.0548292
0,1163.5714,0.054807864
0,1165.7142,0.05478656
0,1167.8572,0.05476528
0,1170,0.054744028
0,1172.1428,0.054722805
0,1174.2858,0.054701608
0,1176.4286,0.054680437
0,1178.5714,0.054659292
0,1180.7142,0.054638177
0,1182.8572,0.054617085
0,1185,0.05459602
0,1187.1428,0.054574985
0,1189.2858,0.054553974
0,1191.4286,0.054532994
0,1193.5714,0.054512035
0,1195.7142,0.054491106
0,1197.8572,0.054470204
0,1200,0.054449324
0,1202.1428,0.054428473
0,1204.2858,0.05440765
0,1206.4286,0.05438685
0,1208.5714,0.05436608
0,1210.7142,0.054345332
0,1212.8572,0.054324612
0,1215,0.054303918
0,1217.1428,0.054283254
0,1219.2858,0.054262612
0,1221.4286,0.054241996
0,1223.5714,0.054221407
0,1225.7142,0.054200843
0,1227.8572,0.0541803
0,1230,0.05415979
0,1232.1428,0.054139305
0,1234.2858,0.054118846
0,1236.4286,0.05409841
0,1238.5714,0.054077998
0,1240.7142,0.054057617
0,1242.8572,0.054037258
0,1245,0.054016925
0,1247.1428,0.053996615
0,1249.2858,0.053976335
0,1251.4286,0.053956077
0,1253.5714,0.053935844
0,1255.7142,0.05391564
0,1257.8572,0.05389546
0,1260,0.0538753
0,1262.1428,0.053855173
0,1264.2858,0.053835064
0,1266.4286,0.053814985
0,1268.5714,0.053794928
0,1270.7142,0.053774897
0,1272.8572,0.053754892
0,1275,0.053734913
0,1277.1428,0.053714957
0,1279.2858,0.053695023
0,1281.4286,0.05367512
0,1283.5714,0.053655237
0,1285.7142,0.053635377
0,1287.8572,0.053615544
0,1290,0.053595737
0,1292.1428,0.053575955
0,1294.2858,0.053556196
0,1296.4286,0.05353646
0,1298.5714,0.05351675
0,1300.7142,0.053497065
0,1302.8572,0.053477403
0,1305,0.053457767
0,1307.1428,0.053438153
0,1309.2858,0.05341856
0,1311.4286,0.053398997
0,1313.5714,0.053379457
0,1315.7142,0.05335994
0,1317.8572,0.05334045
0,1320,0.053320978
0,1322.1428,0.053301536
0,1324.2858,0.053282116
0,1326.4286,0.053262718
0,1328.5714,0.053243343
0,1330.7142,0.053223994
0,1332.8572,0.05320467
0,1335,0.053185366
0,1337.1428,0.053166088
0,1339.2858,0.053146835
0,1341.4286,0.0531276
0,1343.5714,0.053108398
0,1345.7142,0.053089213
0,1347.8572,0.05307005
0,1350,0.053050913
0,1352.1428,0.053031802
0,1354.2858,0.05301271
0,1356.4286,0.052993644
0,1358.5714,0.0529746
0,1360.7142,0.05295558
0,1362.8572,0.05293658
0,1365,0.052917607
0,1367.1428,0.052898657
0,1369.2858,0.05287973
0,1371.4286,0.052860823
0,1373.5714,0.052841943
0,1375.7142,0.05282308
0,1377.8572,0.052804247
0,1380,0.052785434
0,1382.1428,0.052766643
0,1384.2858,0.052747875
0,1386.4286,0.05272913
0,1388.5714,0.052710406
0,1390.7142,0.05269171
0,1392.8572,0.05267303
0,1395,0.052654378
0,1397.1428,0.052635744
0,1399.2858,0.052617136
0,1401.4286,0.052598547
0,1403.5714,0.052579984
0,1405.7142,0.052561443
0,1407.8572,0.052542925
0,1410,0.052524425
0,1412.1428,0.05250595
0,1414.2858,0.0524875
0,1416.4286,0.052469067
0,1418.5714,0.05245066
0,1420.7142,0.052432276
0,1422.8572,0.05241391
0,1425,0.05239557
0,1427.1428,0.05237725
0,1429.2858,0.05235895
0,1431.4286,0.052340675
0,1433.5714,0.05232242
0,1435.7142,0.05230419
0,1437.8572,0.05228598
0,1440,0.052267794
0,1442.1428,0.052249625
0,1444.2858,0.052231483
0,1446.4286,0.05221336
0,1448.5714,0.05219526
0,1450.7142,0.05217718
0,1452.8572,0.05215912
0,1455,0.052141085
0,1457.1428,0.05212307
0,1459.2858,0.052105077
0,1461.4286,0.052087106
0,1463.5714,0.052069154
0,1465.7142,0.052051224
0,1467.8572,0.052033316
0,1470,0.05201543
0,1472.1428,0.051997565
0,1474.2858,0.051979724
0,1476.4286,0.0519619
0,1478.5714,0.0519441
0,1480.7142,0.05192632
0,1482.8572,0.05190856
0,1485,0.05189082
0,1487.1428,0.051873107
0,1489.2858,0.051855408
0,1491.4286,0.051837735
0,1493.5714,0.05182008
0,1495.7142,0.05180245
0,1497.8572,0.051784836
0,1500,0.051767245
0,1502.1428,0.051749673
0,1504.2858,0.051732123
0,1506.4286,0.051714595
0,1508.5714,0.051697087
0,1510.7142,0.0516796
0,1512.8572,0.051662132
0,1515,0.051644687
0,1517.1428,0.05162726
0,1519.2858,0.051609855
0,1521.4286,0.05159247
0,1523.5714,0.051575106
0,1525.7142,0.05155776
0,1527.8572,0.051540438
0,1530,0.051523134
0,1532.1428,0.051505852
0,1534.2858,0.05148859
0,1536.4286,0.05147135
0,1538.5714,0.051454127
0,1540.7142,0.051436923
0,1542.8572,0.051419742
0,1545,0.051402584
0,1547.1428,0.05138544
0,1549.2858,0.05136832
0,1551.4286,0.05135122
0,1553.5714,0.05133414
0,1555.7142,0.051317077
0,1557.8572,0.051300034
0,1560,0.051283013
0,1562.1428,0.05126601
0,1564.2858,0.05124903
0,1566.4286,0.05123207
0,1568.5714,0.051215127
0,1570.7142,0.051198207
0,1572.8572,0.0511813
0,1575,0.05116442
0,1577.1428,0.051147558
0,1579.2858,0.051130712
0,1581.4286,0.05111389
0,1583.5714,0.051097084
0,1585.7142,0.0510803
0,1587.8572,0.051063534
0,1590,0.05104679
0,1592.1428,0.051030062
0,1594.2858,0.051013354
0,1596.4286,0.05099667
0,1598.5714,0.05098
0,1600.7142,0.05096335
0,1602.8572,0.05094672
0,1605,0.050930113
0,1607.1428,0.05091352
0,1609.2858,0.050896946
0,1611.4286,0.050880395
0,1613.5714,0.050863862
0,1615.7142,0.050847348
0,1617.8572,0.050830852
0,1620,0.050814375
0,1622.1428,0.050797917
0,1624.2858,0.050781477
0,1626.4286,0.05076506
0,1628.5714,0.050748657
0,1630.7142,0.050732277
0,1632.8572,0.050715912
0,1635,0.05069957
0,1637.1428,0.050683245
0,1639.2858,0.050666936
0,1641.4286,0.05065065
0,1643.5714,0.05063438
0,1645.7142,0.05061813
0,1647.8572,0.0506019
0,1650,0.050585683
0,1652.1428,0.05056949
0,1654.2858,0.050553314
0,1656.4286,0.050537158
0,1658.5714,0.050521016
0,1660.7142,0.050504897
0,1662.8572,0.050488796
0,1665,0.05047271
0,1667.1428,0.050456647
0,1669.2858,0.0504406
0,1671.4286,0.05042457
0,1673.5714,0.05040856
0,1675.7142,0.050392568
0,1677.8572,0.050376594
0,1680,0.05036064
0,1682.1428,0.050344698
0,1684.2858,0.05032878
0,1686.4286,0.05031288
0,1688.5714,0.050296996
0,1690.7142,0.05028113
0,1692.8572,0.050265282
0,1695,0.050249454
0,1697.1428,0.050233644
0,1699.2858,0.05021785
0,1701.4286,0.050202075
0,1703.5714,0.050186317
0,1705.7142,0.050170578
0,1707.8572,0.050154857
0,1710,0.05013915
0,1712.1428,0.050123464
0,1714.2858,0.050107796
0,1716.4286,0.050092146
0,1718.5714,0.050076514
0,1720.7142,0.050060898
0,1722.8572,0.0500453
0,1725,0.05002972
0,1727.1428,0.050014157
0,1729.2858,0.04999861
0,1731.4286,0.049983084
0,1733.5714,0.049967576
0,1735.7142,0.049952082
0,1737.8572,0.049936607
0,1740,0.04992115
0,1742.1428,0.04990571
0,1744.2858,0.049890287
0,1746.4286,0.04987488
0,1748.5714,0.049859494
0,1750.7142,0.04984412
0,1752.8572,0.049828768
0,1755,0.04981343
0,1757.1428,0.049798112
0,1759.2858,0.04978281
0,1761.4286,0.049767524
0,1763.5714,0.049752258
0,1765.7142,0.049737006
0,1767.8572,0.049721774
0,1770,0.049706556
0,1772.1428,0.049691357
0,1774.2858,0.049676172
0,1776.4286,0.049661007
0,1778.5714,0.04964586
0,1780.7142,0.049630728
0,1782.8572,0.04961561
0,1785,0.04960051
0,1787.1428,0.04958543
0,1789.2858,0.049570367
0,1791.4286,0.04955532
0,1793.5714,0.04954029
