"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,3.324963
0,10,3.2460275
0,15,3.185056
0,20,3.1355965
0,25,3.0947185
0,30,3.0603876
0,35,3.031153
0,40,3.0059576
0,45,2.9840155
0,50,2.964729
0,55,2.947636
0,60,2.9323704
0,65,2.9186404
0,70,2.9062085
0,75,2.8948793
0,80,2.8844917
0,85,2.8749104
0,90,2.8660223
0,95,2.8577316
0,100,2.8499577
0,105,2.8426316
0,110,2.8356946
0,115,2.829097
0,120,2.822796
0,125,2.8167553
0,130,2.810943
0,135,2.8053322
0,140,2.7999
0,145,2.7946265
0,150,2.7894943
0,155,2.7844887
0,160,2.7795968
0,165,2.7748072
0,170,2.7701106
0,175,2.7654986
0,180,2.7609637
0,185,2.7564995
0,190,2.7521005
0,195,2.7477617
0,200,2.743479
0,205,2.7392485
0,210,2.735067
0,215,2.730931
0,220,2.7268384
0,225,2.7227867
0,230,2.7187736
0,235,2.7147975
0,240,2.7108564
0,245,2.706949
0,250,2.7030737
0,255,2.6992295
0,260,2.6954148
0,265,2.691629
0,270,2.6878707
0,275,2.6841393
0,280,2.6804338
0,285,2.6767535
0,290,2.6730978
0,295,2.6694658
0,300,2.665857
0,305,2.6622708
0,310,2.6587067
0,315,2.655164
0,320,2.6516423
0,325,2.6481411
0,330,2.64466
0,335,2.6411986
0,340,2.6377566
0,345,2.6343334
0,350,2.6309288
0,355,2.6275425
0,360,2.6241739
0,365,2.620823
0,370,2.617489
0,375,2.6141725
0,380,2.6108723
0,385,2.6075888
0,390,2.6043212
0,395,2.6010697
0,400,2.5978336
0,405,2.5946133
0,410,2.591408
0,415,2.588218
0,420,2.5850425
0,425,2.5818818
0,430,2.5787354
0,435,2.5756032
0,440,2.5724852
0,445,2.569381
0,450,2.5662906
0,455,2.5632138
0,460,2.5601504
0,465,2.5571
0,470,2.5540628
0,475,2.5510387
0,480,2.5480273
0,485,2.5450287
0,490,2.5420425
0,495,2.5390687
0,500,2.5361073
0,505,2.533158
0,510,2.5302207
0,515,2.5272956
0,520,2.524382
0,525,2.5214803
0,530,2.5185902
0,535,2.5157115
0,540,2.5128443
0,545,2.5099883
0,550,2.5071435
0,555,2.50431
0,560,2.5014873
0,565,2.4986756
0,570,2.4958746
0,575,2.4930844
0,580,2.4903052
0,585,2.4875362
0,590,2.484778
0,595,2.48203
0,600,2.4792922
0,605,2.476565
0,610,2.4738476
0,615,2.4711406
0,620,2.4684436
0,625,2.4657567
0,630,2.4630795
0,635,2.4604123
0,640,2.4577546
0,645,2.455107
0,650,2.4524686
0,655,2.44984
0,660,2.447221
0,665,2.4446113
0,670,2.442011
0,675,2.43942
0,680,2.4368384
0,685,2.4342659
0,690,2.4317026
0,695,2.4291484
0,700,2.426603
0,705,2.424067
0,710,2.4215398
0,715,2.4190214
0,720,2.4165118
0,780,2.3870673
0,782.1429,2.386038
0,784.2857,2.3850102
0,786.4286,2.383984
0,788.5714,2.3829591
0,790.7143,2.3819358
0,792.8571,2.3809142
0,795,2.3798938
0,797.1429,2.378875
0,799.2857,2.3778577
0,801.4286,2.3768418
0,803.5714,2.3758276
0,805.7143,2.3748145
0,807.8571,2.3738031
0,810,2.372793
0,812.1429,2.3717844
0,814.2857,2.3707774
0,816.4286,2.369772
0,818.5714,2.3687677
0,820.7143,2.367765
0,822.8571,2.3667636
0,825,2.365764
0,827.1429,2.3647654
0,829.2857,2.3637683
0,831.4286,2.362773
0,833.5714,2.3617787
0,835.7143,2.3607862
0,837.8571,2.3597949
0,840,2.358805
0,842.1429,2.3578165
0,844.2857,2.3568296
0,846.4286,2.355844
0,848.5714,2.3548598
0,850.7143,2.3538768
0,852.8571,2.3528955
0,855,2.3519156
0,857.1429,2.350937
0,859.2857,2.3499596
0,861.4286,2.348984
0,863.5714,2.3480093
0,865.7143,2.3470364
0,867.8571,2.3460648
0,870,2.3450944
0,872.1429,2.3441255
0,874.2857,2.343158
0,876.4286,2.3421917
0,878.5714,2.3412268
0,880.7143,2.3402634
0,882.8571,2.3393013
0,885,2.3383405
0,887.1429,2.3373811
0,889.2857,2.3364232
0,891.4286,2.3354664
0,893.5714,2.334511
0,895.7143,2.3335571
0,897.8571,2.3326044
0,900,2.331653
0,902.1429,2.330703
0,904.2857,2.3297544
0,906.4286,2.328807
0,908.5714,2.327861
0,910.7143,2.3269165
0,912.8571,2.325973
0,915,2.325031
0,917.1429,2.3240902
0,919.2857,2.3231509
0,921.4286,2.3222127
0,923.5714,2.321276
0,925.7143,2.3203404
0,927.8571,2.3194063
0,930,2.3184733
0,932.1429,2.3175418
0,934.2857,2.3166115
0,936.4286,2.3156824
0,938.5714,2.3147547
0,940.7143,2.3138282
0,942.8571,2.3129032
0,945,2.3119793
0,947.1429,2.3110566
0,949.2857,2.3101354
0,951.4286,2.3092153
0,953.5714,2.3082964
0,955.7143,2.307379
0,957.8571,2.3064628
0,960,2.3055477
0,962.1429,2.304634
0,964.2857,2.3037217
0,966.4286,2.3028104
0,968.5714,2.3019006
0,970.7143,2.3009918
0,972.8571,2.3000844
0,975,2.2991781
0,977.1429,2.2982733
0,979.2857,2.2973695
0,981.4286,2.296467
0,983.5714,2.2955658
0,985.7143,2.2946658
0,987.8571,2.293767
0,990,2.2928696
0,992.1429,2.2919734
0,994.2857,2.291078
0,996.4286,2.2901843
0,998.5714,2.2892916
0,1000.7143,2.2884002
0,1002.8571,2.28751
0,1005,2.286621
0,1007.1429,2.2857332
0,1009.2857,2.2848465
0,1011.4286,2.2839613
0,1013.5714,2.2830772
0,1015.7143,2.2821941
0,1017.8571,2.2813125
0,1020,2.2804317
0,1022.1429,2.2795525
0,1024.2858,2.2786744
0,1026.4286,2.2777972
0,1028.5714,2.2769215
0,1030.7142,2.2760468
0,1032.8572,2.2751734
0,1035,2.2743013
0,1037.1428,2.27343
0,1039.2858,2.2725601
0,1041.4286,2.2716916
0,1043.5714,2.270824
0,1045.7142,2.2699575
0,1047.8572,2.2690923
0,1050,2.2682283
0,1052.1428,2.2673655
0,1054.2858,2.2665038
0,1056.4286,2.2656431
0,1058.5714,2.2647836
0,1060.7142,2.2639256
0,1062.8572,2.2630684
0,1065,2.2622125
0,1067.1428,2.2613575
0,1069.2858,2.260504
0,1071.4286,2.2596514
0,1073.5714,2.2588
0,1075.7142,2.2579498
0,1077.8572,2.2571008
0,1080,2.2562528
0,1082.1428,2.255406
0,1084.2858,2.2545602
0,1086.4286,2.2537158
0,1088.5714,2.2528722
0,1090.7142,2.2520301
0,1092.8572,2.2511888
0,1095,2.2503488
0,1097.1428,2.2495098
0,1099.2858,2.248672
0,1101.4286,2.2478354
0,1103.5714,2.2469997
0,1105.7142,2.2461653
0,1107.8572,2.2453318
0,1110,2.2444994
0,1112.1428,2.2436683
0,1114.2858,2.2428384
0,1116.4286,2.2420094
0,1118.5714,2.2411814
0,1120.7142,2.2403548
0,1122.8572,2.2395291
0,1125,2.2387044
0,1127.1428,2.237881
0,1129.2858,2.2370586
0,1131.4286,2.2362373
0,1133.5714,2.2354171
0,1135.7142,2.234598
0,1137.8572,2.23378
0,1140,2.2329628
0,1142.1428,2.232147
0,1144.2858,2.231332
0,1146.4286,2.2305183
0,1148.5714,2.2297056
0,1150.7142,2.228894
0,1152.8572,2.2280834
0,1155,2.227274
0,1157.1428,2.2264655
0,1159.2858,2.2256582
0,1161.4286,2.2248518
0,1163.5714,2.2240467
0,1165.7142,2.2232425
0,1167.8572,2.2224393
0,1170,2.2216372
0,1172.1428,2.2208362
0,1174.2858,2.2200363
0,1176.4286,2.2192373
0,1178.5714,2.2184393
0,1180.7142,2.2176425
0,1182.8572,2.2168467
0,1185,2.2160518
0,1187.1428,2.2152581
0,1189.2858,2.2144654
0,1191.4286,2.2136738
0,1193.5714,2.2128832
0,1195.7142,2.2120936
0,1197.8572,2.211305
0,1200,2.2105174
0,1202.1428,2.2097309
0,1204.2858,2.2089453
0,1206.4286,2.2081609
0,1208.5714,2.2073774
0,1210.7142,2.206595
0,1212.8572,2.2058134
0,1215,2.205033
0,1217.1428,2.2042537
0,1219.2858,2.2034752
0,1221.4286,2.202698
0,1223.5714,2.2019215
0,1225.7142,2.2011461
0,1227.8572,2.2003717
0,1230,2.1995983
0,1232.1428,2.198826
0,1234.2858,2.1980546
0,1236.4286,2.1972842
0,1238.5714,2.1965148
0,1240.7142,2.1957464
0,1242.8572,2.194979
0,1245,2.1942127
0,1247.1428,2.193447
0,1249.2858,2.1926827
0,1251.4286,2.1919193
0,1253.5714,2.1911569
0,1255.7142,2.1903954
0,1257.8572,2.1896348
0,1260,2.1888752
0,1262.1428,2.1881168
0,1264.2858,2.187359
0,1266.4286,2.1866026
0,1268.5714,2.1858468
0,1270.7142,2.1850922
0,1272.8572,2.1843383
0,1275,2.1835856
0,1277.1428,2.182834
0,1279.2858,2.1820831
0,1281.4286,2.181333
0,1283.5714,2.1805842
0,1285.7142,2.1798363
0,1287.8572,2.1790893
0,1290,2.1783433
0,1292.1428,2.1775982
0,1294.2858,2.1768541
0,1296.4286,2.1761107
0,1298.5714,2.1753685
0,1300.7142,2.1746273
0,1302.8572,2.173887
0,1305,2.1731474
0,1307.1428,2.172409
0,1309.2858,2.1716716
0,1311.4286,2.170935
0,1313.5714,2.1701992
0,1315.7142,2.1694646
0,1317.8572,2.1687307
0,1320,2.1679978
0,1322.1428,2.167266
0,1324.2858,2.166535
0,1326.4286,2.1658049
0,1328.5714,2.1650758
