"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,3.6033313
0,10,3.5228143
0,15,3.4599454
0,20,3.4092948
0,25,3.367417
0,30,3.3320332
0,35,3.3015862
0,40,3.2749808
0,45,3.251423
0,50,3.230322
0,55,3.2112267
0,60,3.1937861
0,65,3.1777227
0,70,3.162813
0,75,3.148876
0,80,3.135764
0,85,3.123355
0,90,3.111548
0,95,3.1002593
0,100,3.0894191
0,105,3.078969
0,110,3.06886
0,115,3.0590513
0,120,3.0495079
0,125,3.0402007
0,130,3.031105
0,135,3.0222
0,140,3.013468
0,145,3.0048935
0,150,2.996464
0,155,2.988168
0,160,2.979996
0,165,2.9719398
0,170,2.9639924
0,175,2.956147
0,180,2.9483986
0,185,2.9407423
0,190,2.9331737
0,195,2.925689
0,200,2.918285
0,205,2.9109583
0,210,2.9037066
0,215,2.8965268
0,220,2.8894172
0,225,2.8823752
0,230,2.875399
0,235,2.8684874
0,240,2.8616376
0,245,2.8548489
0,250,2.8481193
0,255,2.8414478
0,260,2.834833
0,265,2.8282733
0,270,2.8217678
0,275,2.8153152
0,280,2.808915
0,285,2.8025653
0,290,2.7962656
0,295,2.790015
0,300,2.7838125
0,305,2.777657
0,310,2.7715478
0,315,2.765484
0,320,2.7594652
0,325,2.7534902
0,330,2.7475584
0,335,2.741669
0,340,2.7358212
0,345,2.7300146
0,350,2.7242484
0,355,2.718522
0,360,2.7128348
0,365,2.707186
0,370,2.7015753
0,375,2.696002
0,380,2.6904655
0,385,2.6849654
0,390,2.679501
0,395,2.6740718
0,400,2.6686776
0,405,2.6633174
0,410,2.6579912
0,415,2.6526983
0,420,2.6474383
0,425,2.6422107
0,430,2.637015
0,435,2.6318514
0,440,2.6267188
0,445,2.6216168
0,450,2.6165454
0,455,2.6115038
0,460,2.6064923
0,465,2.6015098
0,470,2.5965562
0,475,2.5916314
0,480,2.5867348
0,485,2.581866
0,490,2.577025
0,495,2.5722113
0,500,2.5674245
0,505,2.5626643
0,510,2.5579307
0,515,2.553223
0,520,2.548541
0,525,2.5438848
0,530,2.5392537
0,535,2.5346477
0,540,2.5300663
0,545,2.5255094
0,550,2.5209765
0,555,2.5164678
0,560,2.511983
0,565,2.5075212
0,570,2.503083
0,575,2.4986675
0,580,2.494275
0,585,2.489905
0,590,2.4855573
0,595,2.481232
0,600,2.4769282
0,605,2.4726465
0,610,2.468386
0,615,2.4641469
0,620,2.459929
0,625,2.4557319
0,630,2.4515557
0,635,2.4473999
0,640,2.4432645
0,645,2.4391491
0,650,2.435054
0,655,2.4309785
0,660,2.4269228
0,665,2.4228866
0,670,2.4188697
0,675,2.414872
0,680,2.4108932
0,685,2.4069333
0,690,2.402992
0,695,2.3990693
0,700,2.395165
0,705,2.3912787
0,710,2.3874106
0,715,2.3835607
0,720,2.3797283
0,780,2.3350787
0,782.1429,2.3335283
0,784.2857,2.3319807
0,786.4286,2.330436
0,788.5714,2.3288944
0,790.7143,2.3273556
0,792.8571,2.3258197
0,795,2.324287
0,797.1429,2.3227568
0,799.2857,2.3212297
0,801.4286,2.3197055
0,803.5714,2.3181841
0,805.7143,2.3166654
0,807.8571,2.3151498
0,810,2.313637
0,812.1429,2.3121269
0,814.2857,2.3106196
0,816.4286,2.3091152
0,818.5714,2.3076136
0,820.7143,2.306115
0,822.8571,2.3046188
0,825,2.3031256
0,827.1429,2.3016353
0,829.2857,2.3001475
0,831.4286,2.2986627
0,833.5714,2.2971804
0,835.7143,2.295701
0,837.8571,2.2942243
0,840,2.2927501
0,842.1429,2.2912788
0,844.2857,2.2898104
0,846.4286,2.2883444
0,848.5714,2.2868812
0,850.7143,2.2854207
0,852.8571,2.283963
0,855,2.2825077
0,857.1429,2.2810552
0,859.2857,2.2796054
0,861.4286,2.2781582
0,863.5714,2.2767136
0,865.7143,2.2752717
0,867.8571,2.2738323
0,870,2.2723956
0,872.1429,2.2709613
0,874.2857,2.2695298
0,876.4286,2.268101
0,878.5714,2.2666745
0,880.7143,2.2652507
0,882.8571,2.2638295
0,885,2.2624109
0,887.1429,2.260995
0,889.2857,2.2595813
0,891.4286,2.2581701
0,893.5714,2.2567618
0,895.7143,2.2553558
0,897.8571,2.2539523
0,900,2.2525513
0,902.1429,2.251153
0,904.2857,2.249757
0,906.4286,2.2483635
0,908.5714,2.2469726
0,910.7143,2.245584
0,912.8571,2.244198
0,915,2.2428145
0,917.1429,2.2414334
0,919.2857,2.2400548
0,921.4286,2.2386785
0,923.5714,2.2373047
0,925.7143,2.2359333
0,927.8571,2.2345643
0,930,2.233198
0,932.1429,2.2318337
0,934.2857,2.230472
0,936.4286,2.2291126
0,938.5714,2.2277558
0,940.7143,2.226401
0,942.8571,2.225049
0,945,2.223699
0,947.1429,2.2223518
0,949.2857,2.2210066
0,951.4286,2.2196639
0,953.5714,2.2183235
0,955.7143,2.2169852
0,957.8571,2.2156496
0,960,2.2143161
0,962.1429,2.212985
0,964.2857,2.211656
0,966.4286,2.2103298
0,968.5714,2.2090056
0,970.7143,2.2076836
0,972.8571,2.206364
0,975,2.2050467
0,977.1429,2.2037315
0,979.2857,2.2024188
0,981.4286,2.2011082
0,983.5714,2.1998
0,985.7143,2.198494
0,987.8571,2.19719
0,990,2.1958885
