"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,3.324907
0,10,3.2458742
0,15,3.1847441
0,20,3.135079
0,25,3.0939617
0,30,3.0593688
0,35,3.0298579
0,40,3.0043778
0,45,2.982147
0,50,2.9625707
0,55,2.9451878
0,60,2.9296348
0,65,2.9156194
0,70,2.9029045
0,75,2.8912952
0,80,2.88063
0,85,2.8707738
0,90,2.8616133
0,95,2.8530526
0,100,2.8450105
0,105,2.8374186
0,110,2.8302176
0,115,2.8233578
0,120,2.816796
0,125,2.810496
0,130,2.804426
0,135,2.7985592
0,140,2.7928722
0,145,2.787345
0,150,2.7819602
0,155,2.7767034
0,160,2.7715611
0,165,2.7665226
0,170,2.761578
0,175,2.756719
0,180,2.751938
0,185,2.747229
0,190,2.7425861
0,195,2.7380044
0,200,2.7334797
0,205,2.729008
0,210,2.724586
0,215,2.7202108
0,220,2.7158797
0,225,2.7115903
0,230,2.7073405
0,235,2.7031283
0,240,2.6989522
0,245,2.6948104
0,250,2.6907017
0,255,2.6866245
0,260,2.682578
0,265,2.6785612
0,270,2.6745727
0,275,2.6706119
0,280,2.6666777
0,285,2.6627693
0,290,2.6588864
0,295,2.655028
0,300,2.6511934
0,305,2.6473823
0,310,2.6435938
0,315,2.6398277
0,320,2.6360831
0,325,2.63236
0,330,2.6286576
0,335,2.6249754
0,340,2.6213136
0,345,2.617671
0,350,2.614048
0,355,2.6104436
0,360,2.6068578
0,365,2.6032903
0,370,2.5997407
0,375,2.5962088
0,380,2.5926943
0,385,2.5891967
0,390,2.585716
0,395,2.582252
0,400,2.5788043
0,405,2.5753725
0,410,2.5719566
0,415,2.5685565
0,420,2.5651717
0,425,2.5618024
0,430,2.5584478
0,435,2.5551083
0,440,2.5517836
0,445,2.5484731
0,450,2.545177
0,455,2.5418952
0,460,2.5386271
0,465,2.5353732
0,470,2.5321329
0,475,2.528906
0,480,2.5256927
0,485,2.5224924
0,490,2.5193055
0,495,2.5161314
0,500,2.5129702
0,505,2.509822
