"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.9007835
0,10,0.88058054
0,15,0.86479425
0,20,0.8520713
0,25,0.8415478
0,30,0.83265096
0,35,0.8249893
0,40,0.8182877
0,45,0.81234676
0,50,0.80701834
0,55,0.8021897
0,60,0.79777306
0,65,0.793699
0,70,0.78991187
0,75,0.7863665
0,80,0.783026
0,85,0.7798599
0,90,0.7768432
0,95,0.7739549
0,100,0.77117765
0,105,0.76849693
0,110,0.76590043
0,115,0.7633781
0,120,0.7609211
0,125,0.7585224
0,130,0.75617576
0,135,0.7538759
0,140,0.75161856
0,145,0.74939984
0,150,0.74721664
0,155,0.7450661
0,160,0.74294597
0,165,0.7408541
0,170,0.7387887
0,175,0.73674834
0,180,0.7347316
0,185,0.73273736
0,190,0.73076445
0,195,0.72881204
0,200,0.72687924
0,205,0.72496533
0,210,0.72306967
0,215,0.7211916
0,220,0.71933055
0,225,0.717486
0,230,0.7156576
0,235,0.7138448
0,240,0.71204716
0,245,0.7102644
0,250,0.7084961
0,255,0.7067419
0,260,0.70500165
0,265,0.70327485
0,270,0.7015613
0,275,0.69986075
0,280,0.69817287
0,285,0.69649744
0,290,0.6948343
0,295,0.6931831
0,300,0.6915437
0,305,0.68991584
0,310,0.68829936
0,315,0.6866941
0,320,0.6850997
0,325,0.6835162
0,330,0.68194324
0,335,0.68038076
0,340,0.67882854
0,345,0.67728645
0,350,0.6757543
0,355,0.67423195
0,360,0.6727193
0,365,0.67121613
0,370,0.6697223
0,375,0.66823775
0,380,0.6667623
0,385,0.6652958
0,390,0.66383815
0,395,0.6623893
0,400,0.66094893
0,405,0.65951717
0,410,0.65809375
0,415,0.6566786
0,420,0.6552716
0,425,0.65387267
0,430,0.65248173
0,435,0.6510986
0,440,0.64972323
0,445,0.6483556
0,450,0.6469955
0,455,0.6456428
0,460,0.6442976
0,465,0.6429597
0,470,0.641629
0,475,0.64030546
0,480,0.6389889
0,485,0.6376794
0,490,0.6363768
0,495,0.635081
0,500,0.633792
0,505,0.6325096
0,510,0.6312339
0,515,0.62996465
0,520,0.6287019
0,525,0.6274456
0,530,0.6261956
0,535,0.6249519
0,540,0.6237144
0,545,0.622483
0,550,0.6212578
0,555,0.6200385
0,560,0.61882526
0,565,0.6176179
0,570,0.6164164
0,575,0.6152207
0,580,0.6140308
0,585,0.61284655
0,590,0.61166793
0,595,0.6104949
0,600,0.6093275
0,605,0.6081655
0,610,0.607009
0,615,0.60585785
0,620,0.60471207
0,625,0.6035716
0,630,0.60243636
0,635,0.6013063
0,640,0.60018146
0,645,0.5990618
0,650,0.5979471
0,655,0.5968375
0,660,0.5957329
0,665,0.5946333
0,670,0.5935386
0,675,0.5924487
0,680,0.5913637
0,685,0.5902835
0,690,0.58920807
0,695,0.5881374
0,700,0.58707136
0,705,0.58601
0,710,0.58495325
0,715,0.58390105
0,720,0.58285344
0,780,0.57062495
0,782.1429,0.57019955
0,784.2857,0.5697749
0,786.4286,0.569351
0,788.5714,0.5689279
0,790.7143,0.5685055
0,792.8571,0.5680839
0,795,0.567663
0,797.1429,0.56724286
0,799.2857,0.5668235
0,801.4286,0.5664048
0,803.5714,0.56598693
0,805.7143,0.5655697
0,807.8571,0.5651533
0,810,0.56473756
0,812.1429,0.5643226
0,814.2857,0.56390834
0,816.4286,0.5634948
0,818.5714,0.563082
0,820.7143,0.5626699
0,822.8571,0.56225854
0,825,0.56184787
0,827.1429,0.56143796
0,829.2857,0.5610287
0,831.4286,0.5606202
0,833.5714,0.5602124
0,835.7143,0.5598053
0,837.8571,0.5593989
0,840,0.5589932
0,842.1429,0.55858827
0,844.2857,0.55818397
0,846.4286,0.5577804
0,848.5714,0.55737746
0,850.7143,0.55697525
0,852.8571,0.55657375
0,855,0.55617297
0,857.1429,0.5557728
0,859.2857,0.5553734
0,861.4286,0.5549746
0,863.5714,0.5545765
0,865.7143,0.55417913
0,867.8571,0.5537824
0,870,0.55338633
0,872.1429,0.552991
0,874.2857,0.5525963
0,876.4286,0.5522022
0,878.5714,0.5518089
0,880.7143,0.5514162
0,882.8571,0.55102414
0,885,0.5506328
0,887.1429,0.5502421
0,889.2857,0.5498521
0,891.4286,0.5494627
0,893.5714,0.54907393
0,895.7143,0.54868585
0,897.8571,0.5482985
0,900,0.5479117
0,902.1429,0.5475256
0,904.2857,0.5471401
0,906.4286,0.54675525
0,908.5714,0.5463711
0,910.7143,0.54598755
0,912.8571,0.54560465
0,915,0.5452224
0,917.1429,0.54484075
0,919.2857,0.54445976
0,921.4286,0.5440794
0,923.5714,0.54369974
0,925.7143,0.54332066
0,927.8571,0.54294217
0,930,0.54256433
0,932.1429,0.54218715
0,934.2857,0.5418106
0,936.4286,0.5414346
0,938.5714,0.54105926
0,940.7143,0.5406845
0,942.8571,0.54031044
0,945,0.53993696
0,947.1429,0.5395641
0,949.2857,0.53919184
0,951.4286,0.5388202
0,953.5714,0.53844917
0,955.7143,0.5380787
0,957.8571,0.53770894
0,960,0.5373397
0,962.1429,0.5369711
0,964.2857,0.5366031
0,966.4286,0.5362357
0,968.5714,0.5358689
0,970.7143,0.5355027
0,972.8571,0.53513706
0,975,0.53477204
0,977.1429,0.5344076
0,979.2857,0.5340438
0,981.4286,0.53368056
0,983.5714,0.53331786
0,985.7143,0.5329558
0,987.8571,0.5325943
0,990,0.5322334
0,992.1429,0.5318731
0,994.2857,0.5315134
0,996.4286,0.5311542
0,998.5714,0.53079563
0,1000.7143,0.53043765
0,1002.8571,0.53008026
0,1005,0.5297234
0,1007.1429,0.52936715
0,1009.2857,0.5290114
0,1011.4286,0.5286563
0,1013.5714,0.5283017
0,1015.7143,0.5279477
0,1017.8571,0.5275943
0,1020,0.5272414
0,1022.1429,0.52688915
0,1024.2858,0.52653736
0,1026.4286,0.5261862
0,1028.5714,0.5258356
0,1030.7142,0.5254855
0,1032.8572,0.525136
0,1035,0.52478707
0,1037.1428,0.5244387
