"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.016624937
0,10,0.016229935
0,15,0.015924556
0,20,0.015676606
0,25,0.015471477
0,30,0.015299029
0,35,0.015152028
0,40,0.015025205
0,45,0.014914637
0,50,0.014817344
0,55,0.014731016
0,60,0.014653829
0,65,0.014584323
0,70,0.014521311
0,75,0.014463818
0,80,0.014411036
0,85,0.0143622905
0,90,0.014317015
0,95,0.014274731
0,100,0.014235035
0,105,0.01419758
0,110,0.014162075
0,115,0.014128271
0,120,0.014095951
0,125,0.014064935
0,130,0.014035065
0,135,0.014006205
0,140,0.013978241
0,145,0.013951072
0,150,0.013924611
0,155,0.013898785
0,160,0.013873531
0,165,0.01384879
0,170,0.013824515
0,175,0.013800666
0,180,0.013777203
0,185,0.013754097
0,190,0.013731318
0,195,0.013708842
0,200,0.013686648
0,205,0.013664717
0,210,0.013643031
0,215,0.013621576
0,220,0.01360034
0,225,0.013579309
0,230,0.013558473
0,235,0.013537823
0,240,0.013517351
0,245,0.013497047
0,250,0.013476906
0,255,0.013456922
0,260,0.013437088
0,265,0.013417399
0,270,0.013397849
0,275,0.013378436
0,280,0.013359154
0,285,0.013339998
0,290,0.013320968
0,295,0.013302057
0,300,0.013283264
0,305,0.013264584
0,310,0.0132460175
0,315,0.013227559
0,320,0.013209207
0,325,0.013190959
0,330,0.013172813
0,335,0.0131547665
0,340,0.013136819
0,345,0.0131189665
0,350,0.013101208
0,355,0.013083543
0,360,0.013065968
0,365,0.013048482
0,370,0.013031083
0,375,0.013013772
0,380,0.012996544
0,385,0.0129794
0,390,0.0129623385
0,395,0.012945359
0,400,0.012928457
0,405,0.012911635
0,410,0.01289489
0,415,0.012878222
0,420,0.012861629
0,425,0.01284511
0,430,0.012828666
0,435,0.012812293
0,440,0.012795991
0,445,0.012779761
0,450,0.012763601
0,455,0.012747509
0,460,0.012731487
0,465,0.0127155315
0,470,0.012699642
0,475,0.01268382
0,480,0.012668062
0,485,0.012652369
0,490,0.012636741
0,495,0.0126211755
0,500,0.012605673
0,505,0.012590231
0,510,0.012574852
0,515,0.012559534
0,520,0.012544276
0,525,0.012529079
0,530,0.01251394
0,535,0.012498859
0,540,0.012483838
0,545,0.0124688735
0,550,0.012453967
0,555,0.012439117
0,560,0.012424323
0,565,0.012409585
0,570,0.012394902
0,575,0.012380275
0,580,0.012365702
0,585,0.012351182
0,590,0.012336717
0,595,0.012322305
0,600,0.012307946
0,605,0.012293639
0,610,0.012279385
0,615,0.012265181
0,620,0.01225103
0,625,0.0122369295
0,630,0.01222288
0,635,0.012208881
0,640,0.012194931
0,645,0.0121810315
0,650,0.012167181
0,655,0.01215338
0,660,0.012139627
0,665,0.012125922
0,670,0.012112265
0,675,0.012098657
0,680,0.012085096
0,685,0.0120715825
0,690,0.012058116
0,695,0.012044695
0,700,0.0120313205
0,705,0.012017992
0,710,0.012004711
0,715,0.011991474
0,720,0.011978282
0,780,0.0118234195
0,782.1429,0.011818003
0,784.2857,0.011812595
0,786.4286,0.011807193
0,788.5714,0.0118018
0,790.7143,0.011796415
0,792.8571,0.011791036
0,795,0.011785666
0,797.1429,0.011780304
0,799.2857,0.011774948
0,801.4286,0.011769601
0,803.5714,0.011764261
0,805.7143,0.011758928
0,807.8571,0.011753603
0,810,0.011748286
0,812.1429,0.011742976
0,814.2857,0.011737674
0,816.4286,0.011732378
0,818.5714,0.011727091
0,820.7143,0.01172181
0,822.8571,0.011716538
0,825,0.011711272
0,827.1429,0.011706014
0,829.2857,0.011700763
0,831.4286,0.011695521
0,833.5714,0.011690284
0,835.7143,0.011685056
0,837.8571,0.011679835
0,840,0.01167462
0,842.1429,0.011669413
0,844.2857,0.011664214
0,846.4286,0.0116590215
0,848.5714,0.011653837
0,850.7143,0.011648659
0,852.8571,0.011643488
0,855,0.011638325
0,857.1429,0.011633168
0,859.2857,0.011628019
0,861.4286,0.011622877
0,863.5714,0.011617742
0,865.7143,0.011612614
0,867.8571,0.011607493
0,870,0.011602379
0,872.1429,0.011597273
0,874.2857,0.011592173
0,876.4286,0.011587081
0,878.5714,0.011581995
0,880.7143,0.011576916
0,882.8571,0.011571844
0,885,0.01156678
0,887.1429,0.011561722
0,889.2857,0.011556671
0,891.4286,0.011551627
0,893.5714,0.01154659
0,895.7143,0.01154156
0,897.8571,0.011536537
0,900,0.011531521
0,902.1429,0.011526511
0,904.2857,0.011521509
0,906.4286,0.011516512
0,908.5714,0.011511524
0,910.7143,0.011506542
0,912.8571,0.0115015665
0,915,0.011496598
0,917.1429,0.011491636
0,919.2857,0.01148668
0,921.4286,0.011481732
0,923.5714,0.0114767905
0,925.7143,0.011471855
0,927.8571,0.011466927
0,930,0.011462006
0,932.1429,0.01145709
0,934.2857,0.011452182
0,936.4286,0.011447281
0,938.5714,0.011442386
0,940.7143,0.011437497
0,942.8571,0.011432615
0,945,0.01142774
0,947.1429,0.011422872
0,949.2857,0.011418009
0,951.4286,0.011413153
0,953.5714,0.011408305
0,955.7143,0.011403462
0,957.8571,0.011398626
0,960,0.011393797
0,962.1429,0.011388973
0,964.2857,0.0113841565
0,966.4286,0.011379346
0,968.5714,0.0113745425
0,970.7143,0.011369745
0,972.8571,0.0113649545
0,975,0.01136017
0,977.1429,0.011355393
0,979.2857,0.011350621
0,981.4286,0.011345856
0,983.5714,0.011341097
0,985.7143,0.011336344
0,987.8571,0.011331597
0,990,0.011326858
0,992.1429,0.011322124
0,994.2857,0.011317397
0,996.4286,0.011312676
0,998.5714,0.011307961
0,1000.7143,0.011303253
0,1002.8571,0.01129855
0,1005,0.011293855
0,1007.1429,0.011289164
0,1009.2857,0.011284481
0,1011.4286,0.011279804
0,1013.5714,0.011275132
0,1015.7143,0.011270467
0,1017.8571,0.011265809
0,1020,0.011261156
0,1022.1429,0.011256509
0,1024.2858,0.011251869
0,1026.4286,0.011247234
0,1028.5714,0.011242606
0,1030.7142,0.011237984
0,1032.8572,0.011233368
0,1035,0.011228758
0,1037.1428,0.011224154
0,1039.2858,0.011219556
0,1041.4286,0.011214964
0,1043.5714,0.011210378
0,1045.7142,0.011205799
0,1047.8572,0.011201225
0,1050,0.011196657
0,1052.1428,0.0111920955
0,1054.2858,0.011187539
0,1056.4286,0.01118299
0,1058.5714,0.011178446
0,1060.7142,0.011173909
0,1062.8572,0.011169376
0,1065,0.011164851
0,1067.1428,0.01116033
0,1069.2858,0.011155816
0,1071.4286,0.011151307
0,1073.5714,0.011146804
0,1075.7142,0.011142308
0,1077.8572,0.011137817
0,1080,0.011133332
0,1082.1428,0.011128853
0,1084.2858,0.01112438
0,1086.4286,0.011119912
0,1088.5714,0.01111545
0,1090.7142,0.011110994
0,1092.8572,0.011106544
0,1095,0.0111021
0,1097.1428,0.011097661
0,1099.2858,0.011093228
0,1101.4286,0.011088802
0,1103.5714,0.01108438
0,1105.7142,0.011079964
0,1107.8572,0.011075554
0,1110,0.011071149
0,1112.1428,0.011066751
0,1114.2858,0.0110623585
0,1116.4286,0.011057971
0,1118.5714,0.011053589
0,1120.7142,0.011049213
0,1122.8572,0.011044843
0,1125,0.011040478
0,1127.1428,0.0110361185
0,1129.2858,0.0110317655
0,1131.4286,0.011027417
0,1133.5714,0.011023075
0,1135.7142,0.011018738
0,1137.8572,0.011014407
0,1140,0.0110100815
0,1142.1428,0.011005761
0,1144.2858,0.011001446
0,1146.4286,0.010997137
0,1148.5714,0.010992834
0,1150.7142,0.010988536
0,1152.8572,0.010984243
0,1155,0.010979956
0,1157.1428,0.010975675
0,1159.2858,0.010971398
0,1161.4286,0.010967128
0,1163.5714,0.0109628625
0,1165.7142,0.010958603
0,1167.8572,0.010954348
0,1170,0.0109501
0,1172.1428,0.010945856
0,1174.2858,0.010941617
0,1176.4286,0.010937384
0,1178.5714,0.010933157
0,1180.7142,0.010928935
0,1182.8572,0.010924718
0,1185,0.010920507
0,1187.1428,0.010916301
0,1189.2858,0.010912101
0,1191.4286,0.010907905
0,1193.5714,0.010903715
0,1195.7142,0.01089953
0,1197.8572,0.010895351
0,1200,0.010891177
0,1202.1428,0.010887007
0,1204.2858,0.010882844
0,1206.4286,0.010878686
0,1208.5714,0.010874532
0,1210.7142,0.010870385
0,1212.8572,0.0108662415
0,1215,0.010862105
0,1217.1428,0.010857972
0,1219.2858,0.010853845
0,1221.4286,0.010849724
0,1223.5714,0.010845606
0,1225.7142,0.010841495
0,1227.8572,0.010837388
0,1230,0.010833288
0,1232.1428,0.010829192
0,1234.2858,0.0108251
0,1236.4286,0.010821015
0,1238.5714,0.0108169345
0,1240.7142,0.010812858
0,1242.8572,0.010808788
0,1245,0.010804723
0,1247.1428,0.010800662
0,1249.2858,0.0107966075
0,1251.4286,0.010792557
0,1253.5714,0.010788512
0,1255.7142,0.010784472
0,1257.8572,0.010780437
0,1260,0.010776407
0,1262.1428,0.010772382
0,1264.2858,0.010768362
0,1266.4286,0.010764347
0,1268.5714,0.010760337
0,1270.7142,0.010756332
0,1272.8572,0.010752332
0,1275,0.010748337
0,1277.1428,0.010744347
0,1279.2858,0.010740362
0,1281.4286,0.010736382
0,1283.5714,0.010732407
0,1285.7142,0.0107284365
0,1287.8572,0.010724471
0,1290,0.010720511
0,1292.1428,0.010716556
0,1294.2858,0.010712605
0,1296.4286,0.010708659
0,1298.5714,0.010704718
0,1300.7142,0.010700782
0,1302.8572,0.010696851
0,1305,0.010692924
0,1307.1428,0.010689003
0,1309.2858,0.010685086
0,1311.4286,0.010681175
0,1313.5714,0.010677268
0,1315.7142,0.010673366
0,1317.8572,0.010669468
0,1320,0.010665576
0,1322.1428,0.010661688
0,1324.2858,0.010657805
0,1326.4286,0.010653927
0,1328.5714,0.010650053
0,1330.7142,0.010646184
0,1332.8572,0.010642321
0,1335,0.010638461
0,1337.1428,0.010634607
0,1339.2858,0.010630757
0,1341.4286,0.010626912
0,1343.5714,0.010623071
0,1345.7142,0.010619236
0,1347.8572,0.010615405
0,1350,0.010611579
0,1352.1428,0.010607757
0,1354.2858,0.01060394
0,1356.4286,0.010600127
0,1358.5714,0.01059632
0,1360.7142,0.010592517
0,1362.8572,0.010588719
0,1365,0.010584925
0,1367.1428,0.010581136
0,1369.2858,0.010577352
0,1371.4286,0.010573572
0,1373.5714,0.010569796
0,1375.7142,0.010566025
0,1377.8572,0.01056226
0,1380,0.010558498
0,1382.1428,0.010554741
0,1384.2858,0.010550988
0,1386.4286,0.01054724
0,1388.5714,0.010543497
0,1390.7142,0.010539758
0,1392.8572,0.010536024
0,1395,0.010532294
0,1397.1428,0.010528569
0,1399.2858,0.0105248485
0,1401.4286,0.010521132
0,1403.5714,0.01051742
0,1405.7142,0.010513713
0,1407.8572,0.01051001
0,1410,0.010506311
0,1412.1428,0.010502618
0,1414.2858,0.010498929
0,1416.4286,0.010495244
0,1418.5714,0.010491563
0,1420.7142,0.010487887
0,1422.8572,0.010484215
0,1425,0.010480548
0,1427.1428,0.010476885
0,1429.2858,0.010473226
0,1431.4286,0.010469573
0,1433.5714,0.010465923
0,1435.7142,0.010462278
0,1437.8572,0.010458636
0,1440,0.010455
0,1442.1428,0.010451368
0,1444.2858,0.01044774
0,1446.4286,0.010444117
0,1448.5714,0.010440497
0,1450.7142,0.010436882
0,1452.8572,0.0104332715
0,1455,0.010429665
0,1457.1428,0.010426064
0,1459.2858,0.010422466
0,1461.4286,0.010418872
0,1463.5714,0.010415284
0,1465.7142,0.010411699
0,1467.8572,0.010408118
0,1470,0.010404542
0,1472.1428,0.0104009705
0,1474.2858,0.010397403
0,1476.4286,0.010393839
0,1478.5714,0.01039028
0,1480.7142,0.010386725
0,1482.8572,0.010383174
0,1485,0.010379627
0,1487.1428,0.010376085
0,1489.2858,0.0103725465
0,1491.4286,0.010369013
0,1493.5714,0.010365483
0,1495.7142,0.010361957
0,1497.8572,0.010358436
0,1500,0.010354918
0,1502.1428,0.0103514055
0,1504.2858,0.010347896
0,1506.4286,0.010344392
0,1508.5714,0.010340891
0,1510.7142,0.010337395
0,1512.8572,0.010333902
0,1515,0.010330414
0,1517.1428,0.01032693
0,1519.2858,0.01032345
0,1521.4286,0.010319974
0,1523.5714,0.010316502
0,1525.7142,0.010313034
0,1527.8572,0.0103095705
0,1530,0.010306111
0,1532.1428,0.010302655
0,1534.2858,0.010299204
0,1536.4286,0.010295756
0,1538.5714,0.010292313
0,1540.7142,0.010288874
0,1542.8572,0.010285438
0,1545,0.010282007
0,1547.1428,0.01027858
0,1549.2858,0.010275156
0,1551.4286,0.010271737
0,1553.5714,0.010268322
0,1555.7142,0.010264911
0,1557.8572,0.010261503
0,1560,0.0102581
0,1562.1428,0.010254701
0,1564.2858,0.010251305
0,1566.4286,0.010247914
0,1568.5714,0.010244527
0,1570.7142,0.010241143
0,1572.8572,0.010237764
0,1575,0.010234388
0,1577.1428,0.010231016
0,1579.2858,0.010227649
0,1581.4286,0.010224285
0,1583.5714,0.010220924
0,1585.7142,0.010217569
0,1587.8572,0.010214216
0,1590,0.010210868
0,1592.1428,0.010207524
0,1594.2858,0.010204183
0,1596.4286,0.010200847
0,1598.5714,0.010197514
0,1600.7142,0.010194185
0,1602.8572,0.01019086
0,1605,0.010187539
0,1607.1428,0.010184222
0,1609.2858,0.010180908
0,1611.4286,0.010177598
0,1613.5714,0.010174293
0,1615.7142,0.010170991
0,1617.8572,0.010167693
0,1620,0.010164398
0,1622.1428,0.010161107
0,1624.2858,0.010157821
0,1626.4286,0.010154538
0,1628.5714,0.010151259
0,1630.7142,0.010147983
0,1632.8572,0.0101447115
