"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.16624936
0,10,0.16229929
0,15,0.15924542
0,20,0.15676576
0,25,0.15471429
0,30,0.15298961
0,35,0.15151939
0,40,0.15025093
0,45,0.14914502
0,50,0.14817186
0,55,0.14730833
0,60,0.14653625
0,65,0.14584096
0,70,0.14521061
0,75,0.14463545
0,80,0.14410742
0,85,0.14361975
0,90,0.14316678
0,95,0.14274374
0,100,0.14234656
0,105,0.14197181
0,110,0.14161655
0,115,0.14127831
0,120,0.14095493
0,125,0.14064457
0,130,0.14034566
0,135,0.14005688
0,140,0.13977703
0,145,0.13950516
0,150,0.13924037
0,155,0.13898192
0,160,0.13872918
0,165,0.1384816
0,170,0.13823867
0,175,0.13799998
0,180,0.13776518
0,185,0.13753393
0,190,0.13730597
0,195,0.13708104
0,200,0.13685893
0,205,0.13663943
0,210,0.13642241
0,215,0.13620768
0,220,0.13599515
0,225,0.13578467
0,230,0.13557614
0,235,0.13536946
0,240,0.13516457
0,245,0.13496138
0,250,0.1347598
0,255,0.1345598
0,260,0.13436128
0,265,0.13416423
0,270,0.13396858
0,275,0.13377428
0,280,0.1335813
0,285,0.13338959
0,290,0.13319911
0,295,0.13300985
0,300,0.13282177
0,305,0.13263482
0,310,0.13244899
0,315,0.13226426
0,320,0.13208057
0,325,0.13189794
0,330,0.13171634
0,335,0.13153572
0,340,0.13135609
0,345,0.13117743
0,350,0.13099968
0,355,0.13082288
0,360,0.13064699
0,365,0.13047199
0,370,0.13029785
0,375,0.13012458
0,380,0.12995218
0,385,0.12978059
0,390,0.12960984
0,395,0.12943989
0,400,0.12927073
0,405,0.12910238
0,410,0.12893479
0,415,0.12876797
0,420,0.1286019
0,425,0.12843658
0,430,0.12827198
0,435,0.12810813
0,440,0.12794498
0,445,0.12778254
0,450,0.1276208
0,455,0.12745975
0,460,0.1272994
0,465,0.1271397
0,470,0.12698069
0,475,0.12682232
0,480,0.12666462
0,485,0.12650757
0,490,0.12635115
0,495,0.12619537
0,500,0.1260402
0,505,0.12588568
0,510,0.12573177
0,515,0.12557845
0,520,0.12542576
0,525,0.12527364
0,530,0.12512213
0,535,0.12497121
0,540,0.124820866
0,545,0.12467111
0,550,0.12452192
0,555,0.124373294
0,560,0.12422524
0,565,0.12407774
0,570,0.12393079
0,575,0.12378439
0,580,0.12363855
0,585,0.12349324
0,590,0.12334847
0,595,0.12320423
0,600,0.123060524
0,605,0.12291734
0,610,0.12277468
0,615,0.12263254
0,620,0.12249091
0,625,0.12234979
0,630,0.122209184
0,635,0.122069076
0,640,0.121929474
0,645,0.121790364
0,650,0.12165175
0,655,0.12151363
0,660,0.121375985
0,665,0.121238835
0,670,0.12110216
0,675,0.12096597
0,680,0.12083025
0,685,0.12069501
0,690,0.12056023
0,695,0.12042592
0,700,0.120292075
0,705,0.12015869
0,710,0.12002576
0,715,0.11989329
0,720,0.11976127
0,780,0.11821144
0,782.1429,0.11815724
0,784.2857,0.11810311
0,786.4286,0.118049055
0,788.5714,0.11799508
0,790.7143,0.117941186
0,792.8571,0.11788736
0,795,0.11783362
0,797.1429,0.117779955
0,799.2857,0.11772636
0,801.4286,0.117672846
0,803.5714,0.1176194
0,805.7143,0.117566034
