"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.54048693
0,10,0.52838635
0,15,0.5189355
0,20,0.51132286
0,25,0.5050303
0,30,0.49971384
0,35,0.49513844
0,40,0.49113864
0,45,0.48759478
0,50,0.48441792
0,55,0.4815403
0,60,0.47890925
0,65,0.47648323
0,70,0.47422877
0,75,0.4721189
0,80,0.4701315
0,85,0.4682483
0,90,0.46645436
0,95,0.46473712
0,100,0.46308616
0,105,0.46149278
0,110,0.4599497
0,115,0.4584508
0,120,0.45699093
0,125,0.45556572
0,130,0.4541715
0,135,0.45280522
0,140,0.45146418
0,145,0.45014614
0,150,0.4488492
0,155,0.4475717
0,160,0.4463122
0,165,0.44506952
0,170,0.4438426
0,175,0.44263047
0,180,0.4414324
0,185,0.4402476
0,190,0.4390755
0,195,0.4379155
0,200,0.43676716
0,205,0.43563002
0,210,0.43450364
0,215,0.4333877
0,220,0.43228182
0,225,0.43118575
0,230,0.4300992
0,235,0.42902187
0,240,0.42795354
0,245,0.42689398
0,250,0.425843
0,255,0.42480037
0,260,0.4237659
0,265,0.42273948
0,270,0.42172083
0,275,0.42070988
0,280,0.41970643
0,285,0.41871038
0,290,0.4177215
0,295,0.41673976
0,300,0.41576496
0,305,0.41479698
0,310,0.41383573
0,315,0.41288108
0,320,0.41193292
0,325,0.4109911
0,330,0.41005558
0,335,0.40912622
0,340,0.40820292
0,345,0.4072856
0,350,0.4063742
0,355,0.40546852
0,360,0.40456858
0,365,0.40367427
0,370,0.40278548
0,375,0.40190214
0,380,0.4010242
0,385,0.40015155
0,390,0.39928412
0,395,0.39842185
0,400,0.39756465
0,405,0.39671248
0,410,0.39586526
0,415,0.39502293
0,420,0.39418542
0,425,0.39335266
0,430,0.3925246
0,435,0.3917012
0,440,0.39088234
0,445,0.39006805
0,450,0.3892582
0,455,0.3884528
0,460,0.38765177
0,465,0.38685504
0,470,0.38606256
0,475,0.38527432
0,480,0.38449022
0,485,0.38371027
0,490,0.3829344
0,495,0.38216254
0,500,0.38139468
