"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.99750775
0,10,0.9738016
0,15,0.95547175
0,20,0.9405865
0,25,0.9282697
0,30,0.91791314
0,35,0.90908307
0,40,0.90146357
0,45,0.8948193
0,50,0.8889717
0,55,0.88378215
0,60,0.8791412
0,65,0.8749614
0,70,0.8711713
0,75,0.8677126
0,80,0.86453676
0,85,0.86160326
0,90,0.8588781
0,95,0.8563326
0,100,0.8539424
0,105,0.8516869
0,110,0.84954846
0,115,0.8475121
0,120,0.8455651
0,125,0.84369624
0,130,0.84189624
0,135,0.8401569
0,140,0.8384714
0,145,0.83683366
0,150,0.8352385
0,155,0.8336815
0,160,0.8321588
0,165,0.830667
0,170,0.82920325
0,175,0.82776505
0,180,0.8263501
0,185,0.82495654
0,190,0.8235827
0,195,0.8222271
0,200,0.82088846
0,205,0.8195656
0,210,0.8182575
0,215,0.8169634
0,220,0.8156823
0,225,0.81441367
0,230,0.8131567
0,235,0.81191105
0,240,0.810676
0,245,0.80945116
0,250,0.8082361
0,255,0.80703044
0,260,0.8058339
0,265,0.804646
0,270,0.8034666
0,275,0.8022954
0,280,0.801132
0,285,0.7999764
0,290,0.79882824
0,295,0.7976873
0,300,0.7965535
0,305,0.79542655
0,310,0.7943063
0,315,0.7931926
0,320,0.7920854
0,325,0.7909845
0,330,0.7898897
0,335,0.7888009
0,340,0.78771806
0,345,0.78664094
0,350,0.78556955
0,355,0.78450376
0,360,0.7834434
0,365,0.78238845
0,370,0.78133875
0,375,0.78029424
0,380,0.7792549
0,385,0.7782206
0,390,0.7771912
0,395,0.77616674
0,400,0.7751471
0,405,0.7741322
0,410,0.77312195
0,415,0.7721163
0,420,0.77111524
0,425,0.77011865
0,430,0.76912653
0,435,0.76813877
0,440,0.76715535
0,445,0.76617616
0,450,0.7652012
0,455,0.76423043
0,460,0.76326376
0,465,0.7623012
0,470,0.76134264
0,475,0.7603881
0,480,0.7594375
0,485,0.7584908
0,490,0.757548
0,495,0.75660896
0,500,0.7556737
0,505,0.75474226
0,510,0.75381446
0,515,0.7528904
0,520,0.75197
0,525,0.75105315
0,530,0.7501399
0,535,0.7492302
0,540,0.74832404
0,545,0.7474214
0,550,0.7465221
0,555,0.74562633
0,560,0.7447339
0,565,0.7438449
0,570,0.74295926
0,575,0.7420769
0,580,0.7411978
0,585,0.74032205
0,590,0.7394495
0,595,0.73858017
0,600,0.737714
0,605,0.73685104
0,610,0.73599124
0,615,0.73513454
0,620,0.73428094
0,625,0.73343045
0,630,0.732583
0,635,0.7317386
0,640,0.73089725
0,645,0.73005885
0,650,0.7292235
0,655,0.72839105
0,660,0.72756153
0,665,0.726735
0,670,0.7259113
0,675,0.72509056
0,680,0.7242726
0,685,0.7234576
0,690,0.72264534
0,695,0.7218359
0,700,0.72102934
0,705,0.7202255
0,710,0.7194244
0,715,0.71862614
0,720,0.71783054
0,780,0.7084912
0,782.1429,0.7081646
0,784.2857,0.7078384
0,786.4286,0.70751274
0,788.5714,0.7071875
0,790.7143,0.7068627
0,792.8571,0.7065384
0,795,0.70621455
0,797.1429,0.70589113
0,799.2857,0.7055682
0,801.4286,0.70524573
0,803.5714,0.70492375
0,805.7143,0.7046022
0,807.8571,0.70428103
0,810,0.7039604
0,812.1429,0.7036402
0,814.2857,0.70332044
0,816.4286,0.70300114
0,818.5714,0.7026823
0,820.7143,0.7023639
0,822.8571,0.7020459
0,825,0.7017284
0,827.1429,0.70141137
0,829.2857,0.70109475
0,831.4286,0.70077854
0,833.5714,0.7004628
0,835.7143,0.70014757
0,837.8571,0.6998327
0,840,0.6995183
0,842.1429,0.6992043
0,844.2857,0.6988908
0,846.4286,0.6985777
0,848.5714,0.698265
0,850.7143,0.6979528
0,852.8571,0.697641
0,855,0.6973297
0,857.1429,0.69701874
0,859.2857,0.69670826
0,861.4286,0.6963982
0,863.5714,0.69608855
0,865.7143,0.6957794
0,867.8571,0.6954706
0,870,0.69516224
0,872.1429,0.6948543
0,874.2857,0.6945468
0,876.4286,0.69423974
0,878.5714,0.6939331
0,880.7143,0.6936269
0,882.8571,0.6933211
0,885,0.6930157
0,887.1429,0.69271076
0,889.2857,0.6924062
0,891.4286,0.6921021
0,893.5714,0.6917984
0,895.7143,0.69149506
0,897.8571,0.6911922
0,900,0.6908897
0,902.1429,0.6905877
0,904.2857,0.69028604
0,906.4286,0.68998486
