"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.54053444
0,10,0.52857065
0,15,0.5193314
0,20,0.51198703
0,25,0.506003
0,30,0.50102216
0,35,0.4967992
0,40,0.49316162
0,45,0.48998478
0,50,0.4871764
0,55,0.48466662
0,60,0.4824015
0,65,0.48033866
0,70,0.4784444
0,75,0.47669142
0,80,0.4750577
0,85,0.47352505
0,90,0.47207856
0,95,0.47070587
0,100,0.46939665
0,105,0.4681424
0,110,0.4669359
0,115,0.46577117
0,120,0.46464312
0,125,0.46354756
0,130,0.46248087
0,135,0.46144003
0,140,0.46042243
0,145,0.4594259
0,150,0.45844856
0,155,0.4574888
0,160,0.4565453
0,165,0.45561683
0,170,0.4547024
0,175,0.4538011
0,180,0.45291212
0,185,0.45203483
0,190,0.45116863
0,195,0.45031294
0,200,0.44946736
0,205,0.4486314
0,210,0.44780472
0,215,0.44698694
0,220,0.44617778
0,225,0.44537696
0,230,0.4445842
0,235,0.44379923
0,240,0.44302186
0,245,0.44225186
0,250,0.44148904
0,255,0.44073325
0,260,0.43998426
0,265,0.43924195
0,270,0.43850613
0,275,0.43777668
0,280,0.43705344
0,285,0.43633628
0,290,0.43562508
0,295,0.43491971
0,300,0.43422008
0,305,0.433526
0,310,0.43283746
0,315,0.4321543
0,320,0.4314764
0,325,0.43080372
0,330,0.43013608
0,335,0.4294735
0,340,0.4288158
0,345,0.42816293
0,350,0.42751482
0,355,0.42687136
0,360,0.4262325
0,365,0.42559814
0,370,0.4249682
0,375,0.42434266
0,380,0.4237214
0,385,0.42310438
0,390,0.42249152
0,395,0.42188275
0,400,0.42127803
0,405,0.4206773
0,410,0.42008048
0,415,0.41948754
0,420,0.4188984
0,425,0.418313
0,430,0.4177313
0,435,0.4171533
0,440,0.41657886
0,445,0.41600797
0,450,0.41544062
0,455,0.4148767
0,460,0.4143162
0,465,0.41375908
0,470,0.41320527
0,475,0.41265476
0,480,0.41210747
0,485,0.41156343
0,490,0.4110225
0,495,0.41048473
0,500,0.40995005
0,505,0.40941843
0,510,0.4088898
0,515,0.40836418
0,520,0.40784147
0,525,0.40732172
0,530,0.40680483
0,535,0.4062908
0,540,0.40577957
0,545,0.40527114
0,550,0.40476546
0,555,0.40426254
0,560,0.40376228
0,565,0.4032647
0,570,0.40276977
0,575,0.40227747
0,580,0.40178776
0,585,0.4013006
0,590,0.400816
0,595,0.40033388
0,600,0.39985427
0,605,0.3993771
0,610,0.3989024
0,615,0.3984301
0,620,0.39796022
0,625,0.39749268
0,630,0.39702752
0,635,0.39656466
0,640,0.39610413
0,645,0.3956459
0,650,0.3951899
0,655,0.39473617
0,660,0.39428467
0,665,0.39383537
0,670,0.39338824
0,675,0.3929433
0,680,0.3925005
0,685,0.39205983
0,690,0.3916213
0,695,0.39118484
0,700,0.39075047
0,705,0.39031816
0,710,0.38988787
0,715,0.38945964
0,720,0.3890334
0,780,0.3840701
0,782.1429,0.38389784
0,784.2857,0.38372588
0,786.4286,0.38355428
0,788.5714,0.383383
0,790.7143,0.3832121
0,792.8571,0.38304147
0,795,0.38287118
0,797.1429,0.38270122
0,799.2857,0.3825316
0,801.4286,0.3823623
0,803.5714,0.38219333
0,805.7143,0.38202468
0,807.8571,0.38185632
0,810,0.38168833
0,812.1429,0.38152063
0,814.2857,0.38135326
0,816.4286,0.3811862
0,818.5714,0.38101947
0,820.7143,0.38085303
0,822.8571,0.38068694
0,825,0.38052115
0,827.1429,0.38035566
0,829.2857,0.3801905
0,831.4286,0.38002566
0,833.5714,0.37986112
0,835.7143,0.37969688
0,837.8571,0.37953296
0,840,0.37936935
0,842.1429,0.37920603
0,844.2857,0.37904304
0,846.4286,0.37888032
0,848.5714,0.37871796
0,850.7143,0.37855586
0,852.8571,0.37839407
0,855,0.3782326
0,857.1429,0.3780714
0,859.2857,0.37791052
0,861.4286,0.37774995
0,863.5714,0.37758967
0,865.7143,0.37742966
0,867.8571,0.37726998
0,870,0.3771106
0,872.1429,0.3769515
0,874.2857,0.3767927
0,876.4286,0.37663418
0,878.5714,0.37647596
0,880.7143,0.37631804
0,882.8571,0.37616038
0,885,0.37600306
0,887.1429,0.375846
0,889.2857,0.3756892
0,891.4286,0.37553275
0,893.5714,0.37537655
0,895.7143,0.37522063
0,897.8571,0.375065
0,900,0.37490967
0,902.1429,0.3747546
0,904.2857,0.37459984
0,906.4286,0.37444535
0,908.5714,0.37429115
0,910.7143,0.37413722
0,912.8571,0.37398356
0,915,0.3738302
0,917.1429,0.3736771
0,919.2857,0.3735243
0,921.4286,0.37337175
0,923.5714,0.3732195
0,925.7143,0.37306753
0,927.8571,0.3729158
0,930,0.37276438
0,932.1429,0.37261322
0,934.2857,0.3724623
0,936.4286,0.37231168
0,938.5714,0.37216136
0,940.7143,0.37201127
0,942.8571,0.37186146
0,945,0.3717119
0,947.1429,0.37156263
0,949.2857,0.37141365
0,951.4286,0.3712649
0,953.5714,0.37111643
0,955.7143,0.37096822
0,957.8571,0.37082028
0,960,0.37067258
0,962.1429,0.37052518
0,964.2857,0.37037802
0,966.4286,0.37023112
0,968.5714,0.3700845
0,970.7143,0.36993814
0,972.8571,0.369792
0,975,0.36964616
0,977.1429,0.36950058
0,979.2857,0.36935523
0,981.4286,0.36921015
0,983.5714,0.36906534
0,985.7143,0.36892077
0,987.8571,0.36877647
0,990,0.3686324
0,992.1429,0.3684886
0,994.2857,0.36834505
0,996.4286,0.36820176
0,998.5714,0.3680587
0,1000.7143,0.3679159
0,1002.8571,0.36777335
0,1005,0.36763108
0,1007.1429,0.367489
0,1009.2857,0.36734724
0,1011.4286,0.36720568
0,1013.5714,0.3670644
0,1015.7143,0.36692333
0,1017.8571,0.36678252
0,1020,0.36664194
0,1022.1429,0.36650163
0,1024.2858,0.36636156
0,1026.4286,0.36622173
0,1028.5714,0.36608213
0,1030.7142,0.3659428
0,1032.8572,0.3658037
0,1035,0.36566484
0,1037.1428,0.36552623
0,1039.2858,0.36538783
0,1041.4286,0.3652497
0,1043.5714,0.3651118
0,1045.7142,0.36497414
0,1047.8572,0.3648367
0,1050,0.3646995
0,1052.1428,0.36456257
0,1054.2858,0.36442584
0,1056.4286,0.36428937
0,1058.5714,0.36415312
0,1060.7142,0.3640171
0,1062.8572,0.36388135
0,1065,0.36374578
0,1067.1428,0.36361048
0,1069.2858,0.3634754
0,1071.4286,0.36334056
0,1073.5714,0.36320594
0,1075.7142,0.36307156
0,1077.8572,0.3629374
0,1080,0.36280346
0,1082.1428,0.36266977
0,1084.2858,0.36253628
0,1086.4286,0.36240306
0,1088.5714,0.36227003
0,1090.7142,0.36213726
0,1092.8572,0.3620047
0,1095,0.36187235
0,1097.1428,0.36174023
0,1099.2858,0.36160836
0,1101.4286,0.3614767
0,1103.5714,0.36134523
0,1105.7142,0.361214
0,1107.8572,0.36108303
0,1110,0.36095226
0,1112.1428,0.3608217
0,1114.2858,0.36069137
0,1116.4286,0.36056125
0,1118.5714,0.36043134
0,1120.7142,0.36030167
0,1122.8572,0.3601722
0,1125,0.360043
0,1127.1428,0.35991398
0,1129.2858,0.35978517
0,1131.4286,0.35965657
0,1133.5714,0.3595282
0,1135.7142,0.35940006
0,1137.8572,0.35927212
0,1140,0.3591444
0,1142.1428,0.35901687
0,1144.2858,0.35888958
0,1146.4286,0.3587625
0,1148.5714,0.35863563
0,1150.7142,0.35850897
0,1152.8572,0.35838252
0,1155,0.35825628
0,1157.1428,0.35813025
0,1159.2858,0.35800445
0,1161.4286,0.35787883
0,1163.5714,0.35775346
0,1165.7142,0.35762826
0,1167.8572,0.35750327
0,1170,0.3573785
0,1172.1428,0.35725394
0,1174.2858,0.35712957
0,1176.4286,0.35700542
0,1178.5714,0.35688147
0,1180.7142,0.35675773
0,1182.8572,0.3566342
0,1185,0.35651088
0,1187.1428,0.35638776
0,1189.2858,0.35626483
0,1191.4286,0.3561421
0,1193.5714,0.3560196
0,1195.7142,0.35589728
0,1197.8572,0.35577518
0,1200,0.35565326
0,1202.1428,0.35553154
0,1204.2858,0.35541004
0,1206.4286,0.3552887
0,1208.5714,0.3551676
0,1210.7142,0.3550467
0,1212.8572,0.354926
0,1215,0.35480547
0,1217.1428,0.35468516
0,1219.2858,0.35456502
0,1221.4286,0.3544451
0,1223.5714,0.35432538
0,1225.7142,0.35420585
0,1227.8572,0.35408652
0,1230,0.35396737
0,1232.1428,0.35384843
0,1234.2858,0.35372967
0,1236.4286,0.3536111
0,1238.5714,0.35349274
0,1240.7142,0.35337457
0,1242.8572,0.35325658
0,1245,0.3531388
0,1247.1428,0.3530212
0,1249.2858,0.3529038
0,1251.4286,0.3527866
0,1253.5714,0.35266957
0,1255.7142,0.35255274
0,1257.8572,0.3524361
0,1260,0.35231963
0,1262.1428,0.35220337
0,1264.2858,0.3520873
0,1266.4286,0.35197142
0,1268.5714,0.3518557
0,1270.7142,0.35174018
0,1272.8572,0.35162485
0,1275,0.35150972
0,1277.1428,0.35139477
0,1279.2858,0.35127997
0,1281.4286,0.3511654
0,1283.5714,0.351051
0,1285.7142,0.35093677
0,1287.8572,0.35082275
0,1290,0.3507089
0,1292.1428,0.35059524
0,1294.2858,0.35048175
0,1296.4286,0.35036844
0,1298.5714,0.35025534
0,1300.7142,0.3501424
0,1302.8572,0.35002965
0,1305,0.34991705
0,1307.1428,0.34980467
0,1309.2858,0.34969243
0,1311.4286,0.3495804
0,1313.5714,0.34946856
0,1315.7142,0.34935686
0,1317.8572,0.34924537
0,1320,0.34913406
0,1322.1428,0.3490229
0,1324.2858,0.34891194
0,1326.4286,0.34880114
0,1328.5714,0.34869054
0,1330.7142,0.3485801
