"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,1.3299649
0,10,1.2982786
0,15,1.2737622
0,20,1.2538463
0,25,1.2373619
0,30,1.2234969
0,35,1.211672
0,40,1.2014648
0,45,1.1925607
0,50,1.184721
0,55,1.1777611
0,60,1.1715343
0,65,1.1659236
0,70,1.1608337
0,75,1.1561866
0,80,1.1519176
0,85,1.1479722
0,90,1.144305
0,95,1.1408774
0,100,1.1376568
0,105,1.1346161
0,110,1.1317317
0,115,1.1289836
0,120,1.1263546
0,125,1.1238298
0,130,1.1213969
0,135,1.1190449
0,140,1.1167647
0,145,1.114548
0,150,1.112388
0,155,1.1102788
0,160,1.1082153
0,165,1.1061931
0,170,1.1042081
0,175,1.1022569
0,180,1.1003367
0,185,1.0984448
0,190,1.0965791
0,195,1.0947375
0,200,1.0929183
0,205,1.0911201
0,210,1.0893414
0,215,1.0875812
0,220,1.0858382
0,225,1.0841116
0,230,1.0824006
0,235,1.0807043
0,240,1.0790222
0,245,1.0773535
0,250,1.0756977
0,255,1.0740542
0,260,1.0724227
0,265,1.0708028
0,270,1.0691938
0,275,1.0675957
0,280,1.0660081
0,285,1.0644305
0,290,1.0628626
0,295,1.0613043
0,300,1.0597554
0,305,1.0582155
0,310,1.0566844
0,315,1.055162
0,320,1.0536479
0,325,1.052142
0,330,1.0506443
0,335,1.0491544
0,340,1.0476723
0,345,1.0461978
0,350,1.0447305
0,355,1.0432707
0,360,1.041818
0,365,1.0403724
0,370,1.0389336
0,375,1.0375016
0,380,1.0360763
0,385,1.0346576
0,390,1.0332454
0,395,1.0318396
0,400,1.03044
0,405,1.0290465
0,410,1.0276593
0,415,1.026278
0,420,1.0249026
0,425,1.0235331
0,430,1.0221694
0,435,1.0208113
0,440,1.019459
0,445,1.0181122
0,450,1.0167707
0,455,1.0154349
0,460,1.0141042
0,465,1.012779
0,470,1.011459
0,475,1.0101441
0,480,1.0088344
0,485,1.0075297
0,490,1.0062301
0,495,1.0049355
0,500,1.0036457
0,505,1.0023608
0,510,1.0010808
0,515,0.99980545
0,520,0.9985349
0,525,0.99726903
0,530,0.9960078
0,535,0.99475116
0,540,0.99349904
0,545,0.9922515
0,550,0.9910084
0,555,0.98976976
0,560,0.9885355
0,565,0.98730564
0,570,0.9860801
0,575,0.9848589
0,580,0.98364186
0,585,0.98242915
0,590,0.98122054
0,595,0.9800162
0,600,0.9788159
0,605,0.97761977
0,610,0.9764277
0,615,0.9752396
