"Approach","Species","Target","Molecule","Dose (mg/kg)","Generic BW (kg)","Observed profiles_n","Observed AUClast_mean_ug_h_mL","Observed AUCinf_mean_ug_h_mL","Observed AUC_extrapolated_mean_pct","Observed AUC_extrapolated_min_pct","Observed AUC_extrapolated_max_pct","Observed terminal_half_life_mean_day","Observed Clearance_dose_AUCinf_mean_L_day","Observed AUC_extrapolated_over_20pct_flag","Predicted profiles_n","Predicted AUClast_mean_ug_h_mL","Predicted AUCinf_mean_ug_h_mL","Predicted AUC_extrapolated_mean_pct","Predicted AUC_extrapolated_min_pct","Predicted AUC_extrapolated_max_pct","Predicted terminal_half_life_mean_day","Predicted Clearance_dose_AUCinf_mean_L_day","Predicted AUC_extrapolated_over_20pct_flag"
"TopDown QSS TMDD","Monkey","IL-6R","Tocilizumab",10,3.5,2,8802.103,11723.188,14.771,0.007,29.535,1.57,0.136,"<=20%",1,9022.62,11382.424,20.732,20.732,20.732,2.31,0.074,">20%"
"TopDown QSS TMDD","Monkey","PD-1","Nivolumab",1,3.5,2,3603.017,4578.219,21.308,21.167,21.449,7.792,0.018,">20%",1,4223.352,5361.131,21.223,21.223,21.223,7.272,0.016,">20%"
"TopDown QSS TMDD","Monkey","PD-1","Nivolumab",10,3.5,2,45382.205,58327.605,20.418,7.094,33.743,5.519,0.015,">20%",1,49489.892,53503.338,7.501,7.501,7.501,7.28,0.016,"<=20%"
"TopDown QSS TMDD","Monkey","PD-1","Pembrolizumab",0.3,3.5,1,905.482,1258.49,28.05,28.05,28.05,4.128,0.02,">20%",1,830.568,1550.481,46.432,46.432,46.432,6.833,0.016,">20%"
"TopDown QSS TMDD","Monkey","PD-1","Pembrolizumab",3,3.5,1,7470.089,18069.452,58.659,58.659,58.659,6.912,0.014,">20%",1,7924.081,15090.709,47.49,47.49,47.49,6.807,0.017,">20%"
"TopDown QSS TMDD","Monkey","PD-1","Pembrolizumab",30,3.5,1,67054.557,108680.911,38.301,38.301,38.301,4.304,0.023,">20%",1,73799.381,146449.887,49.608,49.608,49.608,6.838,0.017,">20%"
"TopDown QSS TMDD","Monkey","PD-L1","Atezolizumab",0.5,3.5,1,682.961,1086.213,37.125,37.125,37.125,4.696,0.039,">20%",1,1007.466,2069.134,51.31,51.31,51.31,7.533,0.02,">20%"
"TopDown QSS TMDD","Monkey","PD-L1","Atezolizumab",5,3.5,1,13939.584,16019.462,12.983,12.983,12.983,5.732,0.026,"<=20%",1,15416.662,21624.223,28.707,28.707,28.707,7.9,0.019,">20%"
"TopDown QSS TMDD","Monkey","PD-L1","Atezolizumab",20,3.5,1,69445.128,101361.591,31.488,31.488,31.488,8.259,0.017,">20%",1,61301.244,87590.95,30.014,30.014,30.014,8.012,0.019,">20%"
"TopDown QSS TMDD","Monkey","PD-L1","Avelumab",5,3.5,1,4047.335,4271.281,5.243,5.243,5.243,2.577,0.098,"<=20%",1,4039.902,4237.374,4.66,4.66,4.66,2.404,0.099,"<=20%"
"TopDown QSS TMDD","Monkey","TNFA","Adalimumab",3,3.5,2,5579.526,7979.599,29.387,27.136,31.637,6.05,0.035,">20%",1,6005.209,8350.243,28.083,28.083,28.083,6.289,0.03,">20%"
"TopDown QSS TMDD","Monkey","TNFA","Golimumab",3,3.5,1,6869.512,8134.354,15.549,15.549,15.549,3.762,0.031,"<=20%",1,6765.66,7847.269,13.783,13.783,13.783,3.523,0.032,"<=20%"
"TopDown QSS TMDD","Monkey","VEGFA","Bevacizumab",4,3.5,1,14142.969,18042.731,21.614,21.614,21.614,9.433,0.019,">20%",1,10853.938,12337.998,12.028,12.028,12.028,6.972,0.027,"<=20%"
"TopDown QSS TMDD","Monkey","VEGFA","Bevacizumab",5,3.5,1,7595.824,8027.256,5.375,5.375,5.375,3.882,0.052,"<=20%",1,12588.313,15626.39,19.442,19.442,19.442,6.997,0.027,"<=20%"
"TopDown QSS TMDD","Human","IL-6R","Tocilizumab",8,70,1,25350.213,25350.739,0.002,0.002,0.002,0.037,0.53,"<=20%",1,13817.414,13817.451,0,0,0,1.033,0.973,"<=20%"
"TopDown QSS TMDD","Human","PD-1","Nivolumab",1,70,2,4592.752,9543.4,50.393,38.674,62.112,18.97,0.179,">20%",1,6869.067,8329.273,17.531,17.531,17.531,11.236,0.202,"<=20%"
"TopDown QSS TMDD","Human","PD-1","Nivolumab",3,70,2,10870.948,19855.343,45.164,39.342,50.985,15.194,0.254,">20%",1,20648.964,25114.003,17.779,17.779,17.779,11.353,0.201,"<=20%"
