"Run","Molecule","Fit_Status","OFV","Rtot_nM","kdeg_h","kint_h","Kss_nM","CL_L_h_kg","CL_RSE_pct","CL_Status","Vc_L_kg","Vc_RSE_pct","Vc_Status","Q_L_h_kg","Q_RSE_pct","Q_Status","Vp_L_kg","Vp_RSE_pct","Vp_Status","Proportional_Error","Additive_Error_nM","Covariance_Status","Hessian_Min_Eigenvalue","Hessian_Condition_Number","Fit_Error"
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Adalimumab","success",187.423628631729,0.001,0.223,0.866,0.317940972222222,0.000359122896097047,14.8992521560258,"Estimated",0.0466867747522248,11.1048861733074,"Estimated",0.001,NA,"Fixed to cynomolgus typical",0.02756,NA,"Fixed to cynomolgus typical",0.220050673138529,12.6018362098854,"success",0.858717575123264,228.663951741051,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Adalimumab","success",186.787846268968,0.001,0.223,0.866,0.317940972222222,0.000339847276535124,22.1229266184504,"Estimated",0.0431779740136473,15.1307052015248,"Estimated",0.00148352419915291,53.6922815109423,"Estimated",0.0378418889072992,42.9458316481325,"Estimated",0.214048379486891,13.0891982861207,"success",0.975796404274669,186.281613962553,NA
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Atezolizumab","success",257.407002873657,0.609,0.0426,0.606,621.638888888889,0.000228063419764074,8.06429813103611,"Estimated",0.0395533203895627,8.48822547696716,"Estimated",0.001,NA,"Fixed to cynomolgus typical",0.0221138093969242,23.4279901306302,"Estimated",0.126234837492466,12.4503339399057,"success",2.87460269313827,239.494537853944,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Atezolizumab","success",255.843913394378,0.609,0.0426,0.606,621.638888888889,0.000226735217280624,7.77193074470147,"Estimated",0.0361569086589963,9.46525122540771,"Estimated",0.00176111640383733,39.9107323123782,"Estimated",0.0242773339440193,19.1655480921957,"Estimated",0.104416670567374,16.1605264708166,"success",2.91929484058776,275.178422646921,NA
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Avelumab","success",66.7319906179951,0.609,0.0426,0.25,0.158529501915709,0.00115447221675017,1.84993046321697,"Estimated",0.0435167867480987,6.17112318373804,"Estimated",0.0015295292687647,21.8129477321181,"Estimated",0.0393782778071602,8.64017798307474,"Estimated",0.0493743282516625,0.0708567807955511,"success",0.112360446014477,201361.940969692,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Avelumab","success",66.7269445388724,0.609,0.0426,0.25,0.158529501915709,0.00115452197798538,1.84950260212174,"Estimated",0.0434879310094973,6.17898259152401,"Estimated",0.00153275328116198,21.7830152193055,"Estimated",0.0394111143604013,8.64036355605634,"Estimated",0.0494333017988662,0.0675891778592412,"success",0.105952528391795,214014.956676239,NA
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Bevacizumab","success",316.598431712359,0.013,0.48,0.48,0.307462365591398,0.00031897428317817,14.4592583200496,"Estimated",0.0474275111059045,5.57823370779006,"Estimated",0.001,NA,"Fixed to cynomolgus typical",0.0270474509771506,31.1895089161046,"Estimated",0.0364408225847957,46.9142148362354,"success",1.01305853088321,762.609159700914,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Bevacizumab","success",316.547154732602,0.013,0.48,0.48,0.307462365591398,0.000320177221848556,14.7425676356929,"Estimated",0.0469468251828436,7.84234919637261,"Estimated",0.00111884466951709,56.4751974948798,"Estimated",0.0273488968155934,29.9116456113064,"Estimated",0.0330869618626869,47.7216975453805,"success",0.783800662419121,1003.12855971239,NA
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Golimumab","success",84.2808533839705,0.001,0.223,0.866,0.064534121440086,0.00038218377905525,5.91278352271093,"Estimated",0.028836068915388,3.1619758688113,"Estimated",0.0038259007092724,24.4060088428131,"Estimated",0.0171420304711075,9.81244890952316,"Estimated",0.00150579490330068,15.9858999079903,"success",0.148562528669387,35684.8133539315,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Golimumab","success",84.2806981302456,0.001,0.223,0.866,0.064534121440086,0.000382147162903583,5.9124461625798,"Estimated",0.0288343890277666,3.16098051231551,"Estimated",0.00382471940068993,24.3987734111181,"Estimated",0.0171473864290275,9.80985623881408,"Estimated",0.00150531724433416,15.9812964121938,"success",0.148087570178849,35823.3217306948,NA
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Nivolumab","success",459.14704057942,0.0166,0.027,0.027,1.45572368421053,0.000186733524941221,5.41880030224005,"Estimated",0.031245287937209,8.50439965029981,"Estimated",0.001,NA,"Fixed to cynomolgus typical",0.0149089142579186,32.7861312056402,"Estimated",0.289552213599644,0.000359300030455362,"success",0.000393751128574094,2482564.22470539,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Nivolumab","success",458.63774375486,0.0166,0.027,0.027,1.45572368421053,0.000186137400699641,5.43175575870497,"Estimated",0.0327474475926293,9.641367636489,"Estimated",0.000522079736443997,87.1186992292885,"Estimated",0.0138381944177218,38.0311602321149,"Estimated",0.287196258929822,0.00042340198125491,"success",0.000463148086724125,2042492.37788437,NA
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Pembrolizumab","success",355.309420926694,0.0166,0.027,0.027,0.392058823529412,0.000188920798417464,18.6204544784896,"Estimated",0.0150179134075286,23.8243528027697,"Estimated",0.000705509627497869,23.4662027971541,"Estimated",0.0254134452241333,22.4639523445965,"Estimated",0.23699617256471,0.000485709468450811,"success",0.000543439398091176,948601.889393453,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Pembrolizumab","success",355.309420926694,0.0166,0.027,0.027,0.392058823529412,0.000188920798417464,18.6204544784896,"Estimated",0.0150179134075286,23.8243528027697,"Estimated",0.000705509627497869,23.4662027971541,"Estimated",0.0254134452241333,22.4639523445965,"Estimated",0.23699617256471,0.000485709468450811,"success",0.000543439398091176,948601.889393453,NA
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Tocilizumab","success",111.650686843603,2.2,0.28,0.28,1.82701973001038,0.000804732746171568,5.17620536820046,"Estimated",0.0477244350820488,3.83445770215295,"Estimated",0.001,NA,"Fixed to cynomolgus typical",0.0205879783517363,28.6134189849619,"Estimated",0.08198962686374,0.0197966334633563,"success",0.000313229042363298,4629633.11082399,NA
"Run5_CL_Vc_Q_Vp_Run4_initials","Tocilizumab","success",111.638583390582,2.2,0.28,0.28,1.82701973001038,0.000800311762612213,7.78382758199063,"Estimated",0.0480280715771469,6.92160803675003,"Estimated",0.00092295223868389,75.1468120481692,"Estimated",0.0205832642897292,30.4983951141581,"Estimated",0.0819320604524567,0.019189632755798,"success",0.000341878410292149,4316125.34620489,NA
