"Species","Molecule","Dose (mg/kg)","Observed (%)","A priori predicted (%)","Top-down predicted (%)"
"Monkey","Adalimumab",3,29.387,1.791,28.083
"Monkey","Atezolizumab",0.5,37.125,5.741,51.31
"Monkey","Atezolizumab",5,12.983,5.831,28.707
"Monkey","Atezolizumab",20,31.488,5.92,30.014
"Monkey","Avelumab",5,5.243,1.228,4.66
"Monkey","Bevacizumab",4,21.614,0.92,12.028
"Monkey","Bevacizumab",5,5.375,1.032,19.442
"Monkey","Golimumab",3,15.549,1.791,13.783
"Monkey","Nivolumab",1,21.308,1.784,21.223
"Monkey","Nivolumab",10,20.418,1.798,7.501
"Monkey","Pembrolizumab",0.3,28.05,46.583,46.432
"Monkey","Pembrolizumab",3,58.659,46.726,47.49
"Monkey","Pembrolizumab",30,38.301,46.401,49.608
"Monkey","Tocilizumab",10,14.771,0,20.732
"Human","Adalimumab",0.5,25.306,31.524,13.07
"Human","Adalimumab",1,30.36,31.522,13.145
"Human","Adalimumab",3,30.464,31.511,13.196
"Human","Adalimumab",5,31.069,31.501,13.206
"Human","Adalimumab",10,31.534,31.474,13.213
"Human","Atezolizumab",1,30.741,45.974,17.97
"Human","Atezolizumab",3,24.546,46.075,19.158
"Human","Atezolizumab",10,30.663,46.084,20.144
"Human","Atezolizumab",15,30.561,46.049,20.346
"Human","Atezolizumab",20,35.259,46.008,20.456
"Human","Avelumab",1,10.591,31.036,0.001
"Human","Avelumab",3,8.906,31.349,0.005
"Human","Avelumab",10,24.286,31.426,0.23
"Human","Avelumab",20,14.688,31.399,0.378
"Human","Bevacizumab",15,32.876,31.448,16.326
"Human","Golimumab",0.1,14.336,31.527,2.634
"Human","Golimumab",0.3,14.916,31.526,2.841
"Human","Golimumab",1,19.444,31.522,2.917
"Human","Golimumab",3,18.76,31.511,2.939
"Human","Golimumab",6,23.499,31.495,2.945
"Human","Golimumab",10,31.103,31.474,2.947
"Human","Nivolumab",1,50.393,31.524,17.531
"Human","Nivolumab",3,45.164,31.513,17.779
"Human","Nivolumab",4,44.624,31.507,17.811
"Human","Nivolumab",6,47.619,31.497,17.844
"Human","Nivolumab",10,42.154,31.476,17.87
"Human","Nivolumab",20,69.963,31.425,17.889
"Human","Pembrolizumab",2,41.798,82.323,14.685
"Human","Pembrolizumab",10,35.27,82.229,14.747
"Human","Tocilizumab",8,0.002,0,0
