"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","mAb|Kd (FcRn) in endosomal space","mAb-Target-InVitro|Kd","mAb-Target-InVitro|koff","Complex Internalization|kint","Target|Reference concentration","Target degradation|kdeg","Organism|EndogenousIgG|Endosome|Start concentration of free FcRn (endosome)"
0,"UNKNOWN","Monkey",5.51066694106472,1,1,1.43651911089196,7.33368037510003e-05,0.00426591537822805,0.850077877235026,0.0008088723098974,0.374664513715563,32.4100936579266
1,"UNKNOWN","Monkey",2.61750408570166,1,1,0.907643378218576,0.00010652433022486,0.0080149762891156,0.869389331338849,0.000694208436774343,0.351567867638278,29.0528578323071
2,"UNKNOWN","Monkey",5.74162740527728,1,1,1.04808423692379,0.000111871272643455,0.00698918513887873,1.01660064464343,0.00102765793278318,0.193647153094846,20.9223448118447
3,"UNKNOWN","Monkey",5.12126599583834,1,1,1.72348631742155,0.000168353853252035,0.00525983441962417,0.901648775494311,0.00101127840383842,0.230870381012124,13.7470116518138
4,"UNKNOWN","Monkey",2.12469662359203,1,1,1.50951715515554,8.76525359671236e-05,0.00894229682781341,0.715201531880928,0.000912237564161848,0.209148068164926,25.8366696234323
5,"UNKNOWN","Monkey",4.60703096660181,1,1,0.897719636230607,0.000107369051440843,0.0118400408439762,1.1393281991606,0.000873254682277819,0.181475752578702,27.4065317900255
6,"UNKNOWN","Monkey",3.11928897682544,1,1,0.986760212518746,0.000150835718600068,0.0185599546768281,1.60070776436539,0.000781719402778679,0.317619174710556,15.5522369431955
7,"UNKNOWN","Monkey",4.96565297104682,1,1,0.843798811584458,0.000118626622544237,0.0105666756289695,0.503847679773812,0.00108692400296409,0.211564504145199,18.7971102193606
8,"UNKNOWN","Monkey",5.16295845674489,1,1,0.705885294389859,0.000152432742029756,0.0095664115079114,0.987707476966354,0.00109921445852424,0.429107961269504,30.0996601009423
9,"UNKNOWN","Monkey",5.67572640985051,1,1,1.25059948582864,9.69228240246508e-05,0.0093994492407381,0.794658595640358,0.000897052825024198,0.282675568368868,18.9170631181382
10,"UNKNOWN","Monkey",5.04710035447362,1,1,1.08656845923348,9.73333997871516e-05,0.0165504983976708,0.609888886396203,0.001180108185381,0.325825390329366,21.090862302723
11,"UNKNOWN","Monkey",3.75481054734197,1,1,1.62127358107281,9.91316767136223e-05,0.00850987769231099,0.920210863286155,0.00095962007801579,0.196831182175919,15.8923670146925
12,"UNKNOWN","Monkey",2.32690915759975,1,1,0.99183679851209,0.0001362510229881,0.0129620025527114,0.880226933243812,0.000604469127665683,0.340432661450389,21.4878921193975
13,"UNKNOWN","Monkey",7.18396392985432,1,1,1.34225091755862,0.000155006626846848,0.00744234111112173,0.742064850267126,0.00101785817904359,0.146118825416699,23.1284222272691
14,"UNKNOWN","Monkey",6.58484808010275,1,1,1.0644712144278,0.000140671880027597,0.0059135087988005,0.696946978528638,0.000933369714024479,0.232602430464651,22.53049401191
15,"UNKNOWN","Monkey",2.5418713290905,1,1,1.3256965638595,0.00021602736989697,0.0103534274705106,0.784774171053159,0.000843708532290302,0.156125175268834,11.0012568222534
16,"UNKNOWN","Monkey",7.5651502523409,1,1,1.01859260658851,0.000157311767059339,0.0101592280642796,0.940666270951551,0.00156016912453647,0.158659534174698,15.1481585390005
