"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","mAb|Kd (FcRn) in endosomal space","mAb-Target-InVitro|Kd","mAb-Target-InVitro|koff","Complex Internalization|kint","Target|Reference concentration","Target degradation|kdeg","Organism|EndogenousIgG|Endosome|Start concentration of free FcRn (endosome)"
0,"UNKNOWN","Monkey",5.51066694106472,1,1,0.824466031925955,0.319102255733479,0.00780390416980512,1.30128055431458,0.423008512198037,0.0468061419704459,32.4100936579266
1,"UNKNOWN","Monkey",2.61750408570166,1,1,0.472694596677422,0.404319557237677,0.0101422902484618,0.699073991415067,0.627302539055315,0.0386771758747587,29.0528578323071
2,"UNKNOWN","Monkey",5.74162740527728,1,1,0.751732050308808,0.268716659847239,0.00549781255488842,0.785238730986657,0.486118596533557,0.0474311798115852,20.9223448118447
3,"UNKNOWN","Monkey",5.12126599583834,1,1,0.631857767062628,0.179531313287264,0.0117679969710249,0.941722823181184,0.542345032957656,0.0335806622606955,13.7470116518138
4,"UNKNOWN","Monkey",2.12469662359203,1,1,0.970028651805734,0.41289977823146,0.0080832850711998,0.812579122565333,0.649816247452511,0.0428373176004248,25.8366696234323
5,"UNKNOWN","Monkey",4.60703096660181,1,1,0.675777466311201,0.196784155538266,0.013471587744486,0.584393007370704,0.577865406641617,0.0596750194915333,27.4065317900255
6,"UNKNOWN","Monkey",3.11928897682544,1,1,0.59033822155122,0.296604527841413,0.0126235597643353,0.551078107229259,0.632585756129337,0.0216009204293323,15.5522369431955
7,"UNKNOWN","Monkey",4.96565297104682,1,1,0.752410656284808,0.275601190663283,0.0140551918889935,0.632646054420307,0.569970810561683,0.0523778804806454,18.7971102193606
8,"UNKNOWN","Monkey",5.16295845674489,1,1,0.397681074654659,0.241398790331163,0.00872404116676543,0.352370448754257,0.525756827933592,0.0294874980192952,30.0996601009423
9,"UNKNOWN","Monkey",5.67572640985051,1,1,0.532653086894238,0.185059463755462,0.0100238635729952,0.849966041269753,1.20373059286083,0.0378784033190987,18.9170631181382
10,"UNKNOWN","Monkey",5.04710035447362,1,1,0.545542543429108,0.153725722002766,0.0104798677021202,0.593224020669592,0.44760569219327,0.0495459187917803,21.090862302723
11,"UNKNOWN","Monkey",3.75481054734197,1,1,0.499144425752062,0.300776963144044,0.00648424754440684,0.655324056252102,0.688549234982118,0.0440252138992446,15.8923670146925
12,"UNKNOWN","Monkey",2.32690915759975,1,1,0.380219354840109,0.289775612371327,0.00956575062170439,0.674804421989253,0.639066448263803,0.0478622301439038,21.4878921193975
13,"UNKNOWN","Monkey",7.18396392985432,1,1,1.0243441719444,0.281945785010074,0.00519447953480198,0.401772448868437,0.96019306093294,0.0322306367283331,23.1284222272691
14,"UNKNOWN","Monkey",6.58484808010275,1,1,0.597011878823041,0.302861137035941,0.00918917937904506,0.478488544374557,0.64237244261634,0.0329738392422892,22.53049401191
15,"UNKNOWN","Monkey",2.5418713290905,1,1,0.567276785941502,0.286699523369949,0.00608360057904291,0.555313343176258,0.624521584101968,0.0565140968894022,11.0012568222534
