"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","mAb|Kd (FcRn) in endosomal space","mAb-Target-InVitro|Kd","mAb-Target-InVitro|koff","Complex Internalization|kint","Target|Reference concentration","Target degradation|kdeg","Organism|EndogenousIgG|Endosome|Start concentration of free FcRn (endosome)"
0,"UNKNOWN","Monkey",5.51066694106472,1,1,0.80916108079517,5.68073640970298e-05,0.00253098537489476,0.274454473066288,0.439760346268082,0.0534842328352763,32.4100936579266
1,"UNKNOWN","Monkey",2.61750408570166,1,1,0.982888503730924,4.71960171802072e-05,0.00231865368216512,0.29786592305682,0.514512434316977,0.0454739975434579,29.0528578323071
2,"UNKNOWN","Monkey",5.74162740527728,1,1,0.817684976930737,4.77465670721463e-05,0.00130449041544211,0.163034972900887,0.558700669988071,0.0677508982488974,20.9223448118447
3,"UNKNOWN","Monkey",5.12126599583834,1,1,1.16203073723509,3.68661498722788e-05,0.0017522070752039,0.261157861778762,0.308227126595193,0.0505442237230346,13.7470116518138
4,"UNKNOWN","Monkey",2.12469662359203,1,1,0.995871017881997,3.87160285244968e-05,0.00203154366321387,0.3259043103778,0.569912700793351,0.0321707774699708,25.8366696234323
5,"UNKNOWN","Monkey",4.60703096660181,1,1,0.626129172174694,5.90277355080483e-05,0.00159422225669447,0.263293970332153,0.46812651761673,0.0525588558624025,27.4065317900255
6,"UNKNOWN","Monkey",3.11928897682544,1,1,0.926132768183647,4.40712374003965e-05,0.00261725469467893,0.214502583443045,0.566055972963132,0.0365305042023542,15.5522369431955
7,"UNKNOWN","Monkey",4.96565297104682,1,1,1.1318258448684,3.64755136847497e-05,0.00228697505289924,0.222828096508981,0.632664243683541,0.0334289313070468,18.7971102193606
8,"UNKNOWN","Monkey",5.16295845674489,1,1,1.48016702603743,5.75188157243437e-05,0.00169538836078765,0.160608082890913,0.717360306198891,0.0314680635381685,30.0996601009423
9,"UNKNOWN","Monkey",5.67572640985051,1,1,1.04412386679249,7.53952974282447e-05,0.00201631542210815,0.308600116926236,1.32759457451899,0.0604587851935248,18.9170631181382
10,"UNKNOWN","Monkey",5.04710035447362,1,1,1.72008197545056,6.07306691991785e-05,0.00225121318399036,0.363832616519147,0.854751625912966,0.0219418478749528,21.090862302723
11,"UNKNOWN","Monkey",3.75481054734197,1,1,1.02804430217008,5.14647161995715e-05,0.00144622128430513,0.173374546601856,0.709942588117536,0.0411447276675769,15.8923670146925
12,"UNKNOWN","Monkey",2.32690915759975,1,1,0.783545891044983,3.79211418158956e-05,0.00143548682656898,0.349347851282882,0.838614695215621,0.0669982857643874,21.4878921193975
13,"UNKNOWN","Monkey",7.18396392985432,1,1,0.883153760677897,6.21028799496156e-05,0.00221485413880615,0.208070030856835,0.680223469858307,0.0462557601671817,23.1284222272691
14,"UNKNOWN","Monkey",6.58484808010275,1,1,0.88615670424899,3.54982057264102e-05,0.00135870525280286,0.288361573097574,0.377664021189553,0.0425090410855947,22.53049401191
15,"UNKNOWN","Monkey",2.5418713290905,1,1,0.719904174226537,5.8546502583371e-05,0.00158426603634692,0.228303140684322,1.12721248790647,0.042279836196273,11.0012568222534
16,"UNKNOWN","Monkey",7.5651502523409,1,1,1.26934558250919,5.02693355525748e-05,0.00208351086213037,0.318654306669575,0.692785518115883,0.030398271251046,15.1481585390005
17,"UNKNOWN","Monkey",3.44627723723942,1,1,1.57436012663548,5.94277386370846e-05,0.00157695500627026,0.24091400256896,0.475768973991749,0.0583472590253871,22.4139399707927
18,"UNKNOWN","Monkey",5.57905916384377,1,1,1.99978042341872,6.8918240020361e-05,0.00217616658393965,0.40037244570312,0.609517323401016,0.0543633032336695,25.0505165003631
19,"UNKNOWN","Monkey",7.0875957305951,1,1,0.733305381431189,3.97543678592829e-05,0.000853337677306651,0.189668954470307,0.484029096840714,0.0560228942411145,13.517068535366
