"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","mAb|Kd (FcRn) in endosomal space","mAb-Target-InVitro|Kd","mAb-Target-InVitro|koff","Complex Internalization|kint","Target|Reference concentration","Target degradation|kdeg","Organism|EndogenousIgG|Endosome|Start concentration of free FcRn (endosome)"
0,"UNKNOWN","Monkey",5.51066694106472,1,1,1.3552054178111,7.93771303074884e-05,0.00208872709656304,1.05257852293297,0.012094142676731,0.910231880917225,32.4100936579266
1,"UNKNOWN","Monkey",2.61750408570166,1,1,1.1082957627241,6.31980923446805e-05,0.00176805294551891,0.41053436602641,0.0157433042203393,0.658488762724896,29.0528578323071
2,"UNKNOWN","Monkey",5.74162740527728,1,1,1.23834843229125,7.29343938270231e-05,0.00123518527085165,0.406066765138852,0.0165131805630291,0.548821570636899,20.9223448118447
3,"UNKNOWN","Monkey",5.12126599583834,1,1,0.604218631902288,4.0136844108369e-05,0.00269908030967161,0.562217331836318,0.0146074642263971,0.349742949255687,13.7470116518138
4,"UNKNOWN","Monkey",2.12469662359203,1,1,1.40126191176902,5.39015468621911e-05,0.00299279201297315,0.47712400951275,0.00739868088923911,0.741595045411188,25.8366696234323
5,"UNKNOWN","Monkey",4.60703096660181,1,1,1.08488973320608,7.98658063016832e-05,0.00154052963822676,0.395690493455786,0.0107211633543608,0.664945540131595,27.4065317900255
6,"UNKNOWN","Monkey",3.11928897682544,1,1,0.959129655506367,8.97986329768124e-05,0.00231829270568555,0.499042079755868,0.0187447719444928,0.557649736667296,15.5522369431955
7,"UNKNOWN","Monkey",4.96565297104682,1,1,1.16024985838514,3.97892130658031e-05,0.00172397496819033,0.806142677931453,0.00923977499044974,0.319106025435476,18.7971102193606
8,"UNKNOWN","Monkey",5.16295845674489,1,1,0.618670424701053,5.62986759271825e-05,0.00171304794894098,0.896703154682963,0.0110746671603473,0.439303216922177,30.0996601009423
9,"UNKNOWN","Monkey",5.67572640985051,1,1,0.756350987576103,6.14517974058936e-05,0.00225353419087047,0.357124680978488,0.00989680085837144,0.525705656166203,18.9170631181382
10,"UNKNOWN","Monkey",5.04710035447362,1,1,1.33386341522812,5.48132630328544e-05,0.00169572693671511,0.452196103187597,0.0108120332946975,0.602338539704891,21.090862302723
11,"UNKNOWN","Monkey",3.75481054734197,1,1,0.774415756985527,8.81656200383903e-05,0.00139118727480194,0.466862253934401,0.0195873120611679,0.43698905905603,15.8923670146925
12,"UNKNOWN","Monkey",2.32690915759975,1,1,0.824641352147688,7.53604204272779e-05,0.00129590859147705,0.50208821293155,0.00919136942062827,0.520148785464471,21.4878921193975
13,"UNKNOWN","Monkey",7.18396392985432,1,1,1.36951706349409,5.3042124868357e-05,0.00136468869864327,0.680340307665104,0.011410809202612,0.418924326868416,23.1284222272691
14,"UNKNOWN","Monkey",6.58484808010275,1,1,1.57015430555705,5.37049238002246e-05,0.00245857575342526,0.740352278199587,0.0151088542082845,0.290735914570166,22.53049401191
15,"UNKNOWN","Monkey",2.5418713290905,1,1,1.09672157246084,5.2593213972424e-05,0.00373175531554643,0.371675036689417,0.0201192127862006,0.4866182064846,11.0012568222534
16,"UNKNOWN","Monkey",7.5651502523409,1,1,0.928714834350515,6.6044802979137e-05,0.00109526278804149,0.380267999698591,0.0130371146220581,0.37697559733789,15.1481585390005
17,"UNKNOWN","Monkey",3.44627723723942,1,1,0.569330451015549,7.26698546551067e-05,0.00149306433504988,0.292600880209467,0.0175622425003265,0.364223748383317,22.4139399707927
18,"UNKNOWN","Monkey",5.57905916384377,1,1,2.15521780834658,8.63290709067837e-05,0.00214638049173726,0.639930104956247,0.00961014728396663,0.728236627189081,25.0505165003631
19,"UNKNOWN","Monkey",7.0875957305951,1,1,1.65331211892507,5.0402092068516e-05,0.00126104396271596,0.497268694413491,0.0156897025677975,0.82671345622096,13.517068535366
20,"UNKNOWN","Monkey",6.99501830292634,1,1,1.38844675079916,5.53790268336169e-05,0.00143216118737829,0.48500386544398,0.0183745782156337,0.488234769619875,32.3682863233593
21,"UNKNOWN","Monkey",4.58321961973944,1,1,1.91541179985894,6.65492083370956e-05,0.00184214984637848,0.518661116014067,0.0119160513398612,0.45923453485994,19.995167894858
22,"UNKNOWN","Monkey",7.76501459896798,1,1,1.13921118954937,8.39458566586727e-05,0.00345657874667181,0.66418948631988,0.00829812019073542,0.454030878403004,21.7229587209535
23,"UNKNOWN","Monkey",5.23762475756818,1,1,1.30596961841842,3.82489739251151e-05,0.00224610030784411,0.42299952589396,0.00709271889575768,0.562754316177608,28.4245734049189
24,"UNKNOWN","Monkey",5.66305679160312,1,1,1.01059465996524,4.77460865955455e-05,0.000996384140319365,0.628846884274632,0.0114753636489083,0.368578877954718,28.0306832429361
25,"UNKNOWN","Monkey",5.98691856022315,1,1,1.50194187389967,3.8904717547993e-05,0.00252220328557155,0.533789187123439,0.0168023312383359,0.268009016845939,11.675829928366
26,"UNKNOWN","Monkey",5.56230318060252,1,1,0.975554813917013,4.19091691121824e-05,0.00285884539025685,0.527090384898229,0.0154946272016724,0.590072521443845,37.8796609356024
27,"UNKNOWN","Monkey",5.51867072820601,1,1,1.41405064303359,4.86090024941193e-05,0.00237494637182797,0.709065725420859,0.0136254650719376,1.05291539197494,20.6686219161759
28,"UNKNOWN","Monkey",3.21617323309936,1,1,1.05713722769608,8.10159653905481e-05,0.00174251331195209,0.655766550407809,0.0102256287639105,0.408402143007548,22.6783345703731
29,"UNKNOWN","Monkey",7.59942934736583,1,1,1.11469359907527,5.84772591434913e-05,0.00152968051989917,0.269046112254257,0.0220313667576151,0.406544632913713,24.2520550200772
30,"UNKNOWN","Monkey",5.59750121440622,1,1,1.19039516864384,7.69148202897473e-05,0.00163288665464769,0.57780458008645,0.0148789351509749,0.330835320079249,24.0604754444323
31,"UNKNOWN","Monkey",2.21139316270658,1,1,0.872432204083618,7.20246082052576e-05,0.00250805559683795,0.611597842355219,0.0168816260269839,0.521781091127449,20.8295711069444
32,"UNKNOWN","Monkey",6.69579606349384,1,1,1.04118739926884,7.77912856077791e-05,0.00134718800266146,0.668738590036765,0.00942908815659393,0.716849741234006,51.4051711694992
33,"UNKNOWN","Monkey",4.78911009653896,1,1,0.675407802972555,6.37733899651397e-05,0.00308568616785771,0.388948789401444,0.0124937953469344,0.356068521290163,17.5263362664148
34,"UNKNOWN","Monkey",4.66220311758211,1,1,0.989660610293975,5.9920059706596e-05,0.00218758538007016,0.47091333041131,0.0153586060208006,0.478869486583156,23.3390629092761
35,"UNKNOWN","Monkey",2.13649975421675,1,1,1.46778511458537,7.05355965519859e-05,0.00239248010219268,0.529393806154607,0.0127229374299717,0.384989489448394,20.2157035565781
