"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","mAb|Kd (FcRn) in endosomal space","mAb-Target-InVitro|Kd","mAb-Target-InVitro|koff","Complex Internalization|kint","Target|Reference concentration","Target degradation|kdeg","Organism|EndogenousIgG|Endosome|Start concentration of free FcRn (endosome)"
0,"UNKNOWN","Monkey",5.51066694106472,1,1,1.35448676178289,2.06384050441926e-05,0.00337095306044553,0.658564539260541,0.000800230821992609,0.157881585315031,32.4100936579266
1,"UNKNOWN","Monkey",2.61750408570166,1,1,0.858259333208509,1.62939472403199e-05,0.00685075016423107,0.85583080052522,0.00068357571534787,0.290254138314117,29.0528578323071
2,"UNKNOWN","Monkey",5.74162740527728,1,1,1.22663640690912,3.35983143565231e-05,0.00687899593364255,0.980348673347913,0.00120477658828005,0.430649421736828,20.9223448118447
3,"UNKNOWN","Monkey",5.12126599583834,1,1,0.846308747203802,2.8295852192038e-05,0.0141613424104327,1.15227413871103,0.000934265076298624,0.318363663005899,13.7470116518138
4,"UNKNOWN","Monkey",2.12469662359203,1,1,0.773367080283498,2.5827679276884e-05,0.00641738924882225,0.614740517452516,0.0012745280774797,0.220857109584003,25.8366696234323
5,"UNKNOWN","Monkey",4.60703096660181,1,1,0.915265548704335,1.5670995214446e-05,0.00394142449902164,1.02282767985376,0.0016389175128796,0.150597619433527,27.4065317900255
6,"UNKNOWN","Monkey",3.11928897682544,1,1,1.27964444212954,1.22978505825e-05,0.00869852717798749,0.835883413121222,0.000946803241932828,0.183648391391442,15.5522369431955
7,"UNKNOWN","Monkey",4.96565297104682,1,1,1.18987907545889,1.8479047530811e-05,0.00635582488446638,0.725811453486463,0.000787174353877342,0.377103572044034,18.7971102193606
8,"UNKNOWN","Monkey",5.16295845674489,1,1,1.38175100975039,1.94344862509944e-05,0.00435849655475627,1.50902719970194,0.00137233618577422,0.261379619260184,30.0996601009423
9,"UNKNOWN","Monkey",5.67572640985051,1,1,1.08556167488265,2.63256648104249e-05,0.00595010942341604,1.12804228311224,0.00133282904370059,0.165867528708734,18.9170631181382
10,"UNKNOWN","Monkey",5.04710035447362,1,1,1.24607154795813,1.51771371495604e-05,0.00678952625889661,0.773217988963891,0.00124116438908344,0.245314525365172,21.090862302723
11,"UNKNOWN","Monkey",3.75481054734197,1,1,1.42551415340917,2.37544230845875e-05,0.00805575488064553,0.666660849520511,0.000863189729623673,0.222338803393297,15.8923670146925
12,"UNKNOWN","Monkey",2.32690915759975,1,1,0.66922312353567,2.13882970304834e-05,0.006622623142845,1.75812699317649,0.00148306501158427,0.200418573382873,21.4878921193975
13,"UNKNOWN","Monkey",7.18396392985432,1,1,1.26282253920704,1.40264601418104e-05,0.00817965985535725,0.866070857823904,0.00116855415915514,0.234376370129702,23.1284222272691
14,"UNKNOWN","Monkey",6.58484808010275,1,1,1.02159782548792,1.78504887219094e-05,0.00325736225023319,0.608486813687409,0.00134559779283503,0.235066513445278,22.53049401191
