"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)"
0,"UNKNOWN","Monkey",5.51066694106472,1,1
1,"UNKNOWN","Monkey",2.61750408570166,1,1
2,"UNKNOWN","Monkey",5.74162740527728,1,1
3,"UNKNOWN","Monkey",5.12126599583834,1,1
4,"UNKNOWN","Monkey",2.12469662359203,1,1
5,"UNKNOWN","Monkey",4.60703096660181,1,1
6,"UNKNOWN","Monkey",3.11928897682544,1,1
7,"UNKNOWN","Monkey",4.96565297104682,1,1
8,"UNKNOWN","Monkey",5.16295845674489,1,1
9,"UNKNOWN","Monkey",5.67572640985051,1,1
