"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","mAb|Kd (FcRn) in endosomal space","mAb-Target-InVitro|Kd","mAb-Target-InVitro|koff","Complex Internalization|kint","Target|Reference concentration","Target degradation|kdeg","Organism|EndogenousIgG|Endosome|Start concentration of free FcRn (endosome)"
0,"UNKNOWN","Monkey",5.51066694106472,1,1,0.0425357186702641,0.000158691965641507,0.00128703720106094,0.028553941967241,0.0126920613271017,0.0257745157869054,32.4100936579266
1,"UNKNOWN","Monkey",2.61750408570166,1,1,0.0554517406510499,0.000386060440345963,0.00157596509492919,0.0331227440621836,0.0152480675651082,0.019916590484483,29.0528578323071
2,"UNKNOWN","Monkey",5.74162740527728,1,1,0.13671852529334,0.000400906878424397,0.00161981378627872,0.0255030870949898,0.023506896474674,0.0280842407639459,20.9223448118447
3,"UNKNOWN","Monkey",5.12126599583834,1,1,0.057225477374173,0.000381441709265788,0.00212289597796677,0.0519213822356987,0.0211889210557249,0.0354994684493187,13.7470116518138
4,"UNKNOWN","Monkey",2.12469662359203,1,1,0.0741952261800146,0.000306095580252896,0.0020405916999405,0.0239321813078647,0.0231008667706308,0.0164122671858478,25.8366696234323
5,"UNKNOWN","Monkey",4.60703096660181,1,1,0.0650831175586535,0.000348312111600752,0.00133975785885143,0.0299379441267518,0.0201228330285054,0.0310316537642517,27.4065317900255
6,"UNKNOWN","Monkey",3.11928897682544,1,1,0.0711416770925952,0.000310367162882543,0.00210415252058716,0.0270819976996424,0.0141241665806214,0.0167869969205618,15.5522369431955
7,"UNKNOWN","Monkey",4.96565297104682,1,1,0.112677300385984,0.000277948712667295,0.00207478854107029,0.0405169532124969,0.0128768157350856,0.030903265840257,18.7971102193606
8,"UNKNOWN","Monkey",5.16295845674489,1,1,0.0841980085761233,0.000377068643963882,0.00186481929709279,0.0195798017964831,0.0155579488522634,0.0284963994373871,30.0996601009423
9,"UNKNOWN","Monkey",5.67572640985051,1,1,0.0489486036089408,0.000338599247636073,0.0019313451233246,0.0361863178880773,0.0184267391955372,0.0259839151233097,18.9170631181382
10,"UNKNOWN","Monkey",5.04710035447362,1,1,0.145196338109411,0.000355356921485382,0.00221345312801393,0.0316929443754412,0.0263498427165068,0.0230294024935512,21.090862302723
11,"UNKNOWN","Monkey",3.75481054734197,1,1,0.0892279169409739,0.000495945656176726,0.00160136200013257,0.0360748834444465,0.0297242466268941,0.0183750840780322,15.8923670146925
12,"UNKNOWN","Monkey",2.32690915759975,1,1,0.0658213325310747,0.000417916318970188,0.00149790201257602,0.0228836549436406,0.0166943957201866,0.0203190148467568,21.4878921193975
13,"UNKNOWN","Monkey",7.18396392985432,1,1,0.0447148513339982,0.000287527050498145,0.00227052031739154,0.0260285614026142,0.0233576680378715,0.0232902775853454,23.1284222272691
14,"UNKNOWN","Monkey",6.58484808010275,1,1,0.072497185439847,0.000199008620662748,0.00149272814492734,0.0238026889676805,0.0146348663616492,0.0475586900597557,22.53049401191
15,"UNKNOWN","Monkey",2.5418713290905,1,1,0.0698269361534344,0.000211451958946024,0.00142216255617236,0.0218100635078206,0.0189416466995321,0.0415918383550353,11.0012568222534
16,"UNKNOWN","Monkey",7.5651502523409,1,1,0.0968775736841836,0.000440765112993253,0.00121332990507308,0.0347932368510889,0.0198254727655617,0.0294874239414891,15.1481585390005
17,"UNKNOWN","Monkey",3.44627723723942,1,1,0.0622326027459032,0.000358931624299918,0.00228198301429744,0.0356763940210478,0.0280320654485857,0.0376830941815517,22.4139399707927
18,"UNKNOWN","Monkey",5.57905916384377,1,1,0.0765580439113596,0.000341705737028366,0.00128469059602684,0.0207408390756482,0.0133272156822733,0.0228042132182705,25.0505165003631
19,"UNKNOWN","Monkey",7.0875957305951,1,1,0.0738754370532064,0.000301628347490638,0.00268274618733472,0.0173731309265524,0.010740861570995,0.0207307019567358,13.517068535366
20,"UNKNOWN","Monkey",6.99501830292634,1,1,0.0688573362773449,0.000291436804374609,0.00163540380429001,0.0233008327738365,0.0246553016495154,0.0194236724736267,32.3682863233593
21,"UNKNOWN","Monkey",4.58321961973944,1,1,0.0526387389840799,0.000593739177111882,0.00198503484937663,0.0367374728697842,0.0138932140488198,0.024685089905115,19.995167894858
22,"UNKNOWN","Monkey",7.76501459896798,1,1,0.0579189644481783,0.00033647484394808,0.0024776472598815,0.0340614603322469,0.0212957449441381,0.0214655897475393,21.7229587209535
23,"UNKNOWN","Monkey",5.23762475756818,1,1,0.0898996253663282,0.000238577326882655,0.00107154084785579,0.029637237798225,0.0118972334589258,0.0405833702736457,28.4245734049189
24,"UNKNOWN","Monkey",5.66305679160312,1,1,0.0662561894799772,0.000279736266685341,0.000995971657228244,0.0397543169501022,0.0186120101796575,0.0222373963671633,28.0306832429361
25,"UNKNOWN","Monkey",5.98691856022315,1,1,0.0827387840590698,0.000282609773119393,0.00154709533231369,0.0185012635139922,0.0145527135721702,0.021100744351978,11.675829928366
26,"UNKNOWN","Monkey",5.56230318060252,1,1,0.107050235380985,0.000349949794543588,0.00120060828444306,0.0216637089990125,0.0204788563511389,0.0288217610646728,37.8796609356024
27,"UNKNOWN","Monkey",5.51867072820601,1,1,0.0832978086564723,0.000470686553928234,0.00170480053170756,0.035181471351108,0.0220159325876847,0.0439398560490271,20.6686219161759
28,"UNKNOWN","Monkey",3.21617323309936,1,1,0.0786504891239005,0.000221295738091712,0.00175213687124169,0.0230278391640671,0.014823223135584,0.0158244627750384,22.6783345703731
29,"UNKNOWN","Monkey",7.59942934736583,1,1,0.0469421462024453,0.000294298463183959,0.00285786131731833,0.0249881643385087,0.0125527074838063,0.0236189260530639,24.2520550200772
30,"UNKNOWN","Monkey",5.59750121440622,1,1,0.087329774863086,0.000226149676848213,0.00161226999285484,0.0191243761793231,0.0140314403862811,0.0269916710595729,24.0604754444323
31,"UNKNOWN","Monkey",2.21139316270658,1,1,0.103183977001102,0.00027612130266148,0.00138587972727673,0.0287987094556188,0.0245858811299987,0.0253328097121917,20.8295711069444
32,"UNKNOWN","Monkey",6.69579606349384,1,1,0.0762887097846238,0.000329122097949065,0.000932670529790152,0.0158698645080901,0.0185836360820032,0.0267596839133647,51.4051711694992
33,"UNKNOWN","Monkey",4.78911009653896,1,1,0.0854255636286494,0.000190736972000532,0.00171615799642151,0.0380114937327654,0.0103957631158046,0.0246016290755946,17.5263362664148
34,"UNKNOWN","Monkey",4.66220311758211,1,1,0.0687578044636178,0.000323730027839013,0.00237409043327109,0.0412935736316395,0.0170093003926496,0.0243604084537707,23.3390629092761
35,"UNKNOWN","Monkey",2.13649975421675,1,1,0.0700719841426438,0.000393339631406238,0.0023429353818329,0.0262228761019094,0.0148800967436253,0.036922785461162,20.2157035565781
36,"UNKNOWN","Monkey",7.1799741187971,1,1,0.0793786515730795,0.000252086024628405,0.00138031576893257,0.0278466218807336,0.0112904236616942,0.0237539340977267,31.2822420610987
37,"UNKNOWN","Monkey",6.1277475087567,1,1,0.0900992628762405,0.000232084267731317,0.00134505609641984,0.0251694747456917,0.015945990834513,0.0249876207797997,34.9829691089499
38,"UNKNOWN","Monkey",7.27865883022484,1,1,0.0846809527784779,0.000309933908023877,0.00132099827965738,0.0222505262919995,0.0172817149759872,0.0275397494987213,16.6986047027803
39,"UNKNOWN","Monkey",5.83352102890309,1,1,0.10467654515485,0.000510578772148258,0.00114895823451083,0.0256474330723979,0.0208913942061658,0.0132886140502598,24.3490302947177
40,"UNKNOWN","Monkey",4.42902945933353,1,1,0.0810155743481056,0.000424922013072862,0.00217627428825809,0.0269010706672842,0.0251419800533986,0.0180695127720605,19.5236523293406
41,"UNKNOWN","Monkey",2.16734754395082,1,1,0.0937973018316779,0.000812273034799522,0.00213802032223686,0.0210907136874611,0.0318325884500662,0.019962830132357,19.1878753072177
42,"UNKNOWN","Monkey",3.51684723213168,1,1,0.149486786691638,0.000264886187527287,0.00182218736654885,0.038846189150642,0.0136960612242373,0.0324686785160177,14.2619970322275
43,"UNKNOWN","Monkey",5.25564921612649,1,1,0.0606742311250413,0.000224884857042579,0.00247113405137572,0.0307907670229914,0.0274782308697683,0.0384850610449524,22.2455296013108
44,"UNKNOWN","Monkey",6.85080088900905,1,1,0.0713144897189023,0.000288148213106983,0.00135818894344486,0.0205693525194156,0.0153530089794653,0.0217460042220947,23.7345512975154
45,"UNKNOWN","Monkey",4.53551788466774,1,1,0.0786196612337938,0.000268996262921222,0.00176568872553562,0.034272428482545,0.0168617727393418,0.0270078574342431,14.0896558484892
46,"UNKNOWN","Monkey",7.22217839547534,1,1,0.117835076664381,0.000251260614916801,0.00164253589880367,0.0312475472304037,0.00993628312067048,0.0452006449981119,22.1129933144958
47,"UNKNOWN","Monkey",3.57398959695082,1,1,0.112906475187254,0.000300739893596295,0.00297222189057358,0.0283896134484616,0.0156659384685928,0.022507063146577,36.4168637644281
48,"UNKNOWN","Monkey",5.94097769816451,1,1,0.0540247620201696,0.000537335646112163,0.00180063333034214,0.0169492978729074,0.0170998697223031,0.0186729020399373,18.1209382337313
49,"UNKNOWN","Monkey",2.91688101595122,1,1,0.130415307375076,0.000303694792011251,0.00168809437769063,0.0254158152389566,0.0114475510904951,0.0272083897905881,21.3130320693197
50,"UNKNOWN","Monkey",7.2459798405161,1,1,0.124582254202528,0.000365690413301297,0.00194811851920528,0.0224362710898107,0.0203322913363421,0.0432768251790449,28.6855372697723
51,"UNKNOWN","Monkey",2.94232040221911,1,1,0.0973754734839822,0.000430510690945622,0.00130924776906537,0.0294189139505157,0.0133651166985645,0.0315070354239725,15.7588586194371
52,"UNKNOWN","Monkey",5.87563563039323,1,1,0.0639734021140108,0.000314549529255154,0.00185319532389165,0.022010047911249,0.0154169823789826,0.0303302840113546,19.2179186221797
53,"UNKNOWN","Monkey",7.10556950378491,1,1,0.135001224160924,0.000319836581437444,0.00147476791440671,0.0454431698535265,0.0238480220404667,0.0255728077204038,14.5682576937287
54,"UNKNOWN","Monkey",2.66719530181363,1,1,0.0932577632532957,0.000318252780018398,0.00283354601951519,0.0427511282302618,0.0151387854792216,0.0148935165523257,17.1608972602998
55,"UNKNOWN","Monkey",2.92744732132528,1,1,0.0997775486201658,0.000402776206539402,0.00172963566722941,0.0202096456115687,0.00821403069720574,0.0242317729966781,21.8892705466011
56,"UNKNOWN","Monkey",2.85248948673368,1,1,0.0770869360267061,0.000332020064862895,0.00243033547753716,0.0480098408801235,0.0188671744292603,0.0319922627632062,17.7291459899432
57,"UNKNOWN","Monkey",2.5040026477091,1,1,0.0631407064721777,0.000554759073677692,0.00206055695643544,0.0307086169868108,0.0131179854593694,0.0291558618427134,14.9685858523817
58,"UNKNOWN","Monkey",7.45820920423521,1,1,0.0959674190920789,0.000434671871715721,0.00258528424769968,0.0372876212259701,0.0107815552929752,0.0276742739871138,26.3101652430443
59,"UNKNOWN","Monkey",4.13777806336888,1,1,0.108040651294248,0.000234308806045699,0.00146558897309071,0.0292170848246536,0.0215029222657447,0.022740421408453,21.1670126535335
60,"UNKNOWN","Monkey",7.04472778599929,1,1,0.101197173062216,0.000285221546593359,0.00188389731000057,0.0334106794556785,0.0164179262813434,0.0334881369503724,17.6200608158591
61,"UNKNOWN","Monkey",5.60061824861943,1,1,0.0671842713622021,0.0003456764430466,0.0014164460899122,0.025929766097882,0.00974138219770657,0.02608303608655,17.9803051685256
62,"UNKNOWN","Monkey",3.74947973794745,1,1,0.061322510487182,0.000389915414414167,0.00140408091779252,0.0275116299208277,0.0181822674559094,0.0204205910302148,25.2052401608061
63,"UNKNOWN","Monkey",5.56352910937906,1,1,0.066854305313457,0.000294411030511791,0.00103101738208684,0.0311698500998341,0.01649633582321,0.0220399550104584,18.4002220076851
64,"UNKNOWN","Monkey",2.07822519544429,1,1,0.0839920315613821,0.000363192343676125,0.00091497222750665,0.0438222714566574,0.0225442333273073,0.026507802492568,26.6458330821905
65,"UNKNOWN","Monkey",4.83570719176704,1,1,0.0986263502306423,0.00021883259831814,0.00200426691697727,0.0302987251613542,0.0193829442199595,0.0504648874249253,24.8859122485302
66,"UNKNOWN","Monkey",5.05901448384813,1,1,0.0561958363656266,0.000230722023861716,0.00144811396856403,0.0336996226493482,0.0121147091368352,0.034442290247725,19.4578001950836
67,"UNKNOWN","Monkey",5.53779906106079,1,1,0.0333518307713976,0.000255950016542838,0.00356181014412509,0.0162003991386811,0.013577130121467,0.0240880873586808,41.3489536893027
68,"UNKNOWN","Monkey",4.52176081227221,1,1,0.119967164181951,0.00020798559657411,0.00224867441666045,0.0176464681278082,0.0087626487700723,0.0370920524282645,23.2449961325442
69,"UNKNOWN","Monkey",6.448348325886,1,1,0.0718015690162283,0.000444405362970222,0.00218841062557628,0.0386338507221389,0.0193296088475237,0.0283524330053098,33.5071940391395
70,"UNKNOWN","Monkey",3.3618972102934,1,1,0.0523669803189396,0.000380894698431226,0.00166544723006083,0.0209619975195151,0.0123120646372254,0.018868736032499,16.1006600695416
71,"UNKNOWN","Monkey",3.4374027435842,1,1,0.0595110662142583,0.000478348930886486,0.00233221338365798,0.0281960505737067,0.0175381913871794,0.0250685934668393,23.5305089546656
72,"UNKNOWN","Monkey",4.16761840701458,1,1,0.0749043865169463,0.000274498145132661,0.0015377561695076,0.0151223056526875,0.0206674889315367,0.0192638823411012,20.2631443275484
73,"UNKNOWN","Monkey",7.74553813494068,1,1,0.126352680917669,0.000451927969069184,0.00269240726204532,0.0130060477090032,0.017368748069695,0.0301690930176871,25.8906886512435
74,"UNKNOWN","Monkey",4.65856627126158,1,1,0.121206369027057,0.000246825108366182,0.00113362489179425,0.0244225286733612,0.0149558081455145,0.0216667496535073,24.697673909538
75,"UNKNOWN","Monkey",6.82767075897552,1,1,0.0680009622123504,0.000369879186796399,0.00183201889368949,0.0234342259642005,0.0124696516062319,0.0298984405057614,16.2612501202387
76,"UNKNOWN","Monkey",3.06637238760775,1,1,0.0948263295701059,0.000192038236346972,0.00180614876925473,0.0325830869011886,0.0120783567663502,0.0536844581242209,16.8746366412496
77,"UNKNOWN","Monkey",4.50936538284149,1,1,0.0993900188747312,0.000358001975040694,0.00168498949345459,0.0241779947143114,0.00939009405742261,0.0346870292281115,15.4695011902453
78,"UNKNOWN","Monkey",6.38682386855913,1,1,0.105075438810569,0.000341963154169878,0.00320211208195039,0.0267607070445235,0.0191356510824807,0.035040425899819,16.9090103978489
79,"UNKNOWN","Monkey",3.12753890693539,1,1,0.102019161232364,0.000249322757739313,0.00198220153752025,0.0248575738700177,0.0138063130780858,0.02101550594341,25.5388632070622
80,"UNKNOWN","Monkey",6.76474016474781,1,1,0.0752806008141886,0.000327663389628704,0.00150951455203287,0.0417858424246128,0.0178961624391666,0.0312858798935497,17.2744110892816
81,"UNKNOWN","Monkey",3.9883135836517,1,1,0.0883867049315537,0.000204125641288664,0.00165356859339082,0.0187606175010937,0.0142981082526827,0.0297417956414197,19.7763522677836
82,"UNKNOWN","Monkey",7.5776930300415,1,1,0.108942482451769,0.000182609865474993,0.00111541460846277,0.0245422107251309,0.022260283934025,0.036436320363431,30.1076425043837
83,"UNKNOWN","Monkey",2.29929221714814,1,1,0.172462148501183,0.000243361612823322,0.00195261679250947,0.0321959361207369,0.011599224994268,0.0289743319766063,20.53373707677
84,"UNKNOWN","Monkey",2.35344950684972,1,1,0.0867844151824631,0.000297508942276772,0.00155497267298191,0.0226309580165901,0.0343489311004647,0.0321822340901727,19.7921779313702
