"Drug","Design","Comparison","N_per_group","Total_animals","Animals_used","Power"
"Adalimumab","2 dose groups","A: fixed n/group",2,4,4,0.627
"Adalimumab","2 dose groups","A: fixed n/group",3,6,6,0.655
"Adalimumab","2 dose groups","A: fixed n/group",4,8,8,0.771
"Adalimumab","2 dose groups","A: fixed n/group",5,10,10,0.849
"Adalimumab","3 dose groups","A: fixed n/group",2,6,6,0.758
"Adalimumab","3 dose groups","A: fixed n/group",3,9,9,0.819
"Adalimumab","3 dose groups","A: fixed n/group",4,12,12,0.88
"Adalimumab","3 dose groups","A: fixed n/group",5,15,15,0.928
"Atezolizumab","2 dose groups","A: fixed n/group",2,4,4,0.726
"Atezolizumab","2 dose groups","A: fixed n/group",3,6,6,0.819
"Atezolizumab","2 dose groups","A: fixed n/group",4,8,8,0.908
"Atezolizumab","2 dose groups","A: fixed n/group",5,10,10,0.948
"Atezolizumab","3 dose groups","A: fixed n/group",2,6,6,0.869
"Atezolizumab","3 dose groups","A: fixed n/group",3,9,9,0.935
"Atezolizumab","3 dose groups","A: fixed n/group",4,12,12,0.975
"Atezolizumab","3 dose groups","A: fixed n/group",5,15,15,0.993
"Avelumab","2 dose groups","A: fixed n/group",2,4,4,0.853
"Avelumab","2 dose groups","A: fixed n/group",3,6,6,0.933
"Avelumab","2 dose groups","A: fixed n/group",4,8,8,0.978
"Avelumab","2 dose groups","A: fixed n/group",5,10,10,0.998
"Avelumab","3 dose groups","A: fixed n/group",2,6,6,0.956
"Avelumab","3 dose groups","A: fixed n/group",3,9,9,0.985
"Avelumab","3 dose groups","A: fixed n/group",4,12,12,0.999
"Avelumab","3 dose groups","A: fixed n/group",5,15,15,1
"Bevacizumab","2 dose groups","A: fixed n/group",2,4,4,0.802
"Bevacizumab","2 dose groups","A: fixed n/group",3,6,6,0.89
"Bevacizumab","2 dose groups","A: fixed n/group",4,8,8,0.959
"Bevacizumab","2 dose groups","A: fixed n/group",5,10,10,0.983
"Bevacizumab","3 dose groups","A: fixed n/group",2,6,6,0.915
"Bevacizumab","3 dose groups","A: fixed n/group",3,9,9,0.974
"Bevacizumab","3 dose groups","A: fixed n/group",4,12,12,0.997
