"Drug","Dose_mgkg","N_per_group","Power","Total_animals","Power_per_animal"
"Adalimumab",0.3,2,0.405,2,0.2025
"Adalimumab",0.3,3,0.452,3,0.150666666666667
"Adalimumab",0.3,4,0.503,4,0.12575
"Adalimumab",0.3,5,0.595,5,0.119
"Adalimumab",3,2,0.36,2,0.18
"Adalimumab",3,3,0.382,3,0.127333333333333
"Adalimumab",3,4,0.486,4,0.1215
"Adalimumab",3,5,0.507,5,0.1014
"Adalimumab",10,2,0.384,2,0.192
"Adalimumab",10,3,0.395,3,0.131666666666667
"Adalimumab",10,4,0.422,4,0.1055
"Adalimumab",10,5,0.483,5,0.0966
"Atezolizumab",0.3,2,0.501,2,0.2505
"Atezolizumab",0.3,3,0.573,3,0.191
"Atezolizumab",0.3,4,0.661,4,0.16525
"Atezolizumab",0.3,5,0.758,5,0.1516
"Atezolizumab",3,2,0.499,2,0.2495
"Atezolizumab",3,3,0.568,3,0.189333333333333
"Atezolizumab",3,4,0.632,4,0.158
"Atezolizumab",3,5,0.754,5,0.1508
"Atezolizumab",10,2,0.461,2,0.2305
"Atezolizumab",10,3,0.52,3,0.173333333333333
"Atezolizumab",10,4,0.611,4,0.15275
"Atezolizumab",10,5,0.707,5,0.1414
"Avelumab",0.3,2,0.646,2,0.323
"Avelumab",0.3,3,0.787,3,0.262333333333333
"Avelumab",0.3,4,0.888,4,0.222
"Avelumab",0.3,5,0.958,5,0.1916
"Avelumab",3,2,0.621,2,0.3105
"Avelumab",3,3,0.778,3,0.259333333333333
"Avelumab",3,4,0.87,4,0.2175
"Avelumab",3,5,0.936,5,0.1872
"Avelumab",10,2,0.525,2,0.2625
"Avelumab",10,3,0.59,3,0.196666666666667
"Avelumab",10,4,0.685,4,0.17125
"Avelumab",10,5,0.78,5,0.156
"Bevacizumab",0.3,2,0.653,2,0.3265
"Bevacizumab",0.3,3,0.778,3,0.259333333333333
"Bevacizumab",0.3,4,0.875,4,0.21875
"Bevacizumab",0.3,5,0.938,5,0.1876
"Bevacizumab",3,2,0.564,2,0.282
"Bevacizumab",3,3,0.622,3,0.207333333333333
"Bevacizumab",3,4,0.729,4,0.18225
"Bevacizumab",3,5,0.832,5,0.1664
"Bevacizumab",10,2,0.409,2,0.2045
"Bevacizumab",10,3,0.492,3,0.164
"Bevacizumab",10,4,0.546,4,0.1365
"Bevacizumab",10,5,0.618,5,0.1236
"Golimumab",0.3,2,0.376,2,0.188
"Golimumab",0.3,3,0.387,3,0.129
"Golimumab",0.3,4,0.456,4,0.114
"Golimumab",0.3,5,0.525,5,0.105
"Golimumab",3,2,0.385,2,0.1925
"Golimumab",3,3,0.401,3,0.133666666666667
"Golimumab",3,4,0.434,4,0.1085
"Golimumab",3,5,0.451,5,0.0902
"Golimumab",10,2,0.362,2,0.181
"Golimumab",10,3,0.353,3,0.117666666666667
"Golimumab",10,4,0.394,4,0.0985
"Golimumab",10,5,0.485,5,0.097
"Nivolumab",0.3,2,0.49,2,0.245
"Nivolumab",0.3,3,0.542,3,0.180666666666667
"Nivolumab",0.3,4,0.636,4,0.159
"Nivolumab",0.3,5,0.733,5,0.1466
"Nivolumab",3,2,0.356,2,0.178
"Nivolumab",3,3,0.389,3,0.129666666666667
"Nivolumab",3,4,0.385,4,0.09625
"Nivolumab",3,5,0.448,5,0.0896
"Nivolumab",10,2,0.384,2,0.192
"Nivolumab",10,3,0.367,3,0.122333333333333
"Nivolumab",10,4,0.403,4,0.10075
"Nivolumab",10,5,0.485,5,0.097
"Pembrolizumab",0.3,2,0.483,2,0.2415
"Pembrolizumab",0.3,3,0.557,3,0.185666666666667
"Pembrolizumab",0.3,4,0.627,4,0.15675
"Pembrolizumab",0.3,5,0.719,5,0.1438
"Pembrolizumab",3,2,0.37,2,0.185
"Pembrolizumab",3,3,0.403,3,0.134333333333333
"Pembrolizumab",3,4,0.427,4,0.10675
"Pembrolizumab",3,5,0.487,5,0.0974
"Pembrolizumab",10,2,0.329,2,0.1645
"Pembrolizumab",10,3,0.325,3,0.108333333333333
"Pembrolizumab",10,4,0.374,4,0.0935
"Pembrolizumab",10,5,0.436,5,0.0872
"Tocilizumab",0.3,2,0.655,2,0.3275
"Tocilizumab",0.3,3,0.776,3,0.258666666666667
"Tocilizumab",0.3,4,0.896,4,0.224
"Tocilizumab",0.3,5,0.96,5,0.192
"Tocilizumab",3,2,0.667,2,0.3335
"Tocilizumab",3,3,0.771,3,0.257
"Tocilizumab",3,4,0.887,4,0.22175
"Tocilizumab",3,5,0.953,5,0.1906
"Tocilizumab",10,2,0.684,2,0.342
"Tocilizumab",10,3,0.773,3,0.257666666666667
"Tocilizumab",10,4,0.881,4,0.22025
"Tocilizumab",10,5,0.946,5,0.1892
