"Drug","Observed_dose_mgkg","APriori_Cmax_FE","Topdown_Cmax_FE","APriori_AUC_FE","Topdown_AUC_FE","APriori_AUC_within_2fold","Trigger_reduced_PK"
"Adalimumab",3,1.21,0.99,1.22,1.2,TRUE,FALSE
"Atezolizumab",0.5,1.42,1.3,2.27,1.7,FALSE,TRUE
"Atezolizumab",5,1.09,0.99,1.11,1.19,TRUE,FALSE
"Atezolizumab",20,0.86,0.78,0.87,0.96,TRUE,FALSE
"Avelumab",5,1.3,0.96,2.8,1.2,FALSE,TRUE
"Bevacizumab",4,1.14,0.89,0.64,0.71,TRUE,FALSE
"Bevacizumab",5,1.35,1.08,1.48,1.6,TRUE,FALSE
"Golimumab",3,0.8,1,1,1.21,TRUE,FALSE
"Nivolumab",1,0.97,1.27,0.62,1.34,TRUE,FALSE
"Nivolumab",10,0.74,0.73,0.49,0.96,FALSE,TRUE
"Pembrolizumab",0.3,0.4,0.39,2.39,0.87,FALSE,TRUE
"Pembrolizumab",3,0.99,0.95,2.88,1.01,FALSE,TRUE
"Pembrolizumab",30,1.05,0.97,3.23,1.08,FALSE,TRUE
"Tocilizumab",10,1.06,0.98,1.8,1,TRUE,FALSE
