"Drug","Design","N_per_group","Total_animals","Probability_within_2fold","Median_max_symmetric_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile"
"Atezolizumab","2 dose groups","2",4,1,1.17019855260288,1.04264316652548,1.37482511551918
"Atezolizumab","2 dose groups","3",6,1,1.14106291919224,1.03494895234915,1.33288348953741
"Atezolizumab","2 dose groups","4",8,1,1.11552306585725,1.0320163957974,1.27332366125882
"Atezolizumab","2 dose groups","5",10,1,1.10383315718203,1.02492620530475,1.23703897651916
"Atezolizumab","3 dose groups","2",6,1,1.2062505810582,1.07871752720041,1.43708891778157
"Atezolizumab","3 dose groups","3",9,1,1.16626171761906,1.05580552357461,1.34186654965854
"Atezolizumab","3 dose groups","4",12,1,1.14326722024105,1.05403788002882,1.28563434654105
"Atezolizumab","3 dose groups","5",15,1,1.12541448507724,1.04483413979292,1.24938737755802
"Avelumab","2 dose groups","2",4,1,1.22959525031426,1.05385893852509,1.52828126978091
"Avelumab","2 dose groups","3",6,1,1.18463452510965,1.05287821135024,1.41420962455749
"Avelumab","2 dose groups","4",8,1,1.15825681572282,1.04307817172655,1.34490533970844
"Avelumab","2 dose groups","5",10,1,1.14560828446631,1.03836134413415,1.32550392462654
"Avelumab","3 dose groups","2",6,1,1.28821758104689,1.11039097503537,1.56402869725792
"Avelumab","3 dose groups","3",9,1,1.23426667864015,1.0849675923303,1.4473470469658
"Avelumab","3 dose groups","4",12,1,1.1945037183574,1.07091888228265,1.38021575099151
"Avelumab","3 dose groups","5",15,1,1.16862081118553,1.06973461359009,1.33202271703366
"Nivolumab","2 dose groups","2",4,1,1.18191914242436,1.04013149174908,1.43423987414919
"Nivolumab","2 dose groups","3",6,1,1.14164013479851,1.03706357625003,1.33910581822533
"Nivolumab","2 dose groups","4",8,1,1.12702103907674,1.03069880015957,1.28936331089254
"Nivolumab","2 dose groups","5",10,1,1.111723756284,1.03138601890864,1.24609796758063
"Nivolumab","3 dose groups","2",6,1,1.2158288898214,1.0745559750166,1.46412528374882
"Nivolumab","3 dose groups","3",9,1,1.17928872255701,1.06232341694454,1.392990238816
"Nivolumab","3 dose groups","4",12,1,1.15464419449771,1.05016987362738,1.312652239712
"Nivolumab","3 dose groups","5",15,1,1.13404785228216,1.04903035247482,1.27581355448806
"Pembrolizumab","2 dose groups","2",4,1,1.19787633629,1.05555214375393,1.45041367124109
"Pembrolizumab","2 dose groups","3",6,1,1.15259719200847,1.03906618337172,1.35277589045747
"Pembrolizumab","2 dose groups","4",8,1,1.13961048908405,1.03574880062369,1.30195219933045
"Pembrolizumab","2 dose groups","5",10,1,1.11847927130726,1.03321277314602,1.27310059763603
"Pembrolizumab","3 dose groups","2",6,1,1.23485192611379,1.08835837082344,1.49120892556331
"Pembrolizumab","3 dose groups","3",9,1,1.18551760061859,1.07287240039056,1.38051737276102
"Pembrolizumab","3 dose groups","4",12,1,1.15418242060442,1.05444447447238,1.31005346746573
"Pembrolizumab","3 dose groups","5",15,1,1.14091356651461,1.04820157459569,1.27871784021881
