"Drug","Dose_mgkg","Reference_AUC_mean_ug_h_mL","Reference_AUC_median_ug_h_mL","Reference_AUC_geomean_ug_h_mL","Reference_AUC_CV_percent"
"Atezolizumab",0.3,1169.84459373364,1142.98476146361,1150.46640249935,18.4925821074314
"Atezolizumab",3,12395.5626268665,12126.8511854195,12204.1119357532,18.0655588477446
"Atezolizumab",10,41887.9684620218,41121.3872816889,41254.8170920038,17.9035740116824
"Avelumab",0.3,290.588507475012,283.746074057968,282.217631820502,24.964556116428
"Avelumab",3,3328.37537110578,3221.13384041744,3212.33884101425,27.4724636605853
"Avelumab",10,11285.9562834645,11027.3518005924,10886.2046172871,27.6414261621957
"Nivolumab",0.3,1710.41989122129,1722.40707372874,1679.29248440078,18.9864431880883
"Nivolumab",3,17144.5607652803,17256.3891073493,16832.5049778017,18.9911519017512
"Nivolumab",10,57159.721993364,57530.2598872904,56119.3727222582,18.9910888122804
"Pembrolizumab",0.3,1283.09600133579,1270.90773817182,1256.02308338028,20.5873807352203
"Pembrolizumab",3,12848.890512988,12725.424635427,12577.5157203219,20.5930239422059
"Pembrolizumab",10,42834.5619786005,42422.5010027657,41929.7820924835,20.5936157620324
