"Scenario_name","Drug","IndividualId","Dose_mgkg","Rich_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,961.769454299127
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,1440.19241998911
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,1016.86575302121
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","11",0.3,1186.03291245321
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,1320.64502740694
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,1819.3319893347
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,1228.07005851352
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,1333.49178616871
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,1215.36141027205
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,978.679383979768
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,1127.47396510829
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,1199.2739299263
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,1009.00784885368
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,1199.04375758656
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,1492.53738494236
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,908.086113394305
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,1448.07299830196
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,1022.13257034201
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,1091.14909069774
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,902.838493203098
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,1083.62714772249
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,1065.9963619343
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,1332.65018293948
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","3",0.3,788.786951811261
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","30",0.3,1103.11955378367
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","31",0.3,812.982689820554
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","32",0.3,1128.23946440949
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","33",0.3,1437.53597635032
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","34",0.3,1135.04540965561
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","35",0.3,1060.33946278223
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","36",0.3,1194.87031057686
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","37",0.3,1231.72860064228
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","38",0.3,739.618942330458
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","39",0.3,790.721451108179
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","4",0.3,1278.2388012701
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","40",0.3,796.946292911842
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","41",0.3,1195.16586881533
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","42",0.3,1203.20272704677
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","43",0.3,1021.47547906253
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","44",0.3,981.731118720686
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","45",0.3,1524.89597883306
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","46",0.3,1198.31111093053
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","47",0.3,1027.59864912185
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","48",0.3,1208.83346131071
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","49",0.3,1451.85978573842
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","5",0.3,997.424222491976
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","50",0.3,1279.49171123117
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","51",0.3,1240.28844200522
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","52",0.3,1071.26506303202
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","53",0.3,1281.89251025042
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","54",0.3,737.121192433767
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","55",0.3,975.674922809108
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","56",0.3,1068.4959052936
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","57",0.3,1014.38653380537
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","58",0.3,1296.31198199935
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","59",0.3,1124.37750184411
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","6",0.3,888.378642281738
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","60",0.3,993.777876489031
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","61",0.3,1157.11366785614
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","62",0.3,1500.57986979882
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","63",0.3,1323.31375537063
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","64",0.3,1068.75953389441
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","65",0.3,1622.04494142131
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","66",0.3,1135.17500482503
