"Scenario_name","Drug","IndividualId","Dose_mgkg","Sparse_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,969.674010174952
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,1453.87875955379
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,1026.27026251813
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","11",0.3,1194.13595900918
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,1336.98139608566
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,1832.89688635301
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,1235.19608509596
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,1340.79893778023
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,1220.3778315808
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,985.647791144119
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,1136.64918994628
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,1208.27764099054
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,1014.66917149441
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,1208.54128412407
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,1504.38834210769
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,913.940873194861
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,1456.02151046254
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,1038.81810465309
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,1099.33886121087
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,910.581958455562
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,1091.75459027653
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,1076.91412414458
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,1337.98298567149
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","3",0.3,793.106674693376
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","30",0.3,1108.11021887499
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","31",0.3,818.850285287156
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","32",0.3,1131.54321824805
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","33",0.3,1449.10192206749
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","34",0.3,1141.45581392264
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","35",0.3,1065.20611723287
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","36",0.3,1203.52734128836
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","37",0.3,1239.33806028537
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","38",0.3,743.087405200107
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","39",0.3,796.371829572078
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","4",0.3,1288.71135547552
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","40",0.3,800.63225001611
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","41",0.3,1210.89871195434
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","42",0.3,1215.23456966537
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","43",0.3,1037.28236303147
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","44",0.3,987.624347152283
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","45",0.3,1536.51563074992
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","46",0.3,1217.01041895258
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","47",0.3,1040.72002278616
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","48",0.3,1215.84187330427
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","49",0.3,1466.56172410837
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","5",0.3,1004.54675835968
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","50",0.3,1295.69145789183
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","51",0.3,1246.86011838702
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","52",0.3,1080.65442370696
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","53",0.3,1294.57463607873
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","54",0.3,745.92653610939
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","55",0.3,984.402596926884
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","56",0.3,1077.700594701
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","57",0.3,1022.07876555995
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","58",0.3,1306.69782530694
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","59",0.3,1137.65486369807
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","6",0.3,892.852945984147
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","60",0.3,1000.1186984234
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","61",0.3,1165.78028912173
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","62",0.3,1511.42111419808
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","63",0.3,1342.5096152798
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","64",0.3,1081.30640571554
