"Scenario_name","Drug","IndividualId","Dose_mgkg","Time_h","Time_day","Concentration_ug_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,0.25,0.0104166666666667,5.48980384375885
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,1,0.0416666666666667,5.35979249325535
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,2,0.0833333333333333,5.20334523907066
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,4,0.166666666666667,4.93960173949362
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,8,0.333333333333333,4.55763117293253
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,24,1,3.87014471002585
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,48,2,3.39356862881392
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,144,6,2.10191175131449
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,240,10,1.29973114485514
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,336,14,0.802434579432913
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,504,21,0.344249306755866
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","1",0.3,672,28,0.147454536355815
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,0.25,0.0104166666666667,10.5397260641733
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,1,0.0416666666666667,10.2457447194164
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,2,0.0833333333333333,9.8784649279265
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,4,0.166666666666667,9.22010599968622
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,8,0.333333333333333,8.15595036214551
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,24,1,5.89128089810547
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,48,2,4.75041161238897
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,144,6,3.1911840693562
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,240,10,2.19468612224661
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,336,14,1.49930409778583
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,504,21,0.757811741528947
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","10",0.3,672,28,0.37678292048485
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,0.25,0.0104166666666667,6.28758871324414
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,1,0.0416666666666667,6.11076867340412
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,2,0.0833333333333333,5.89421882567411
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,4,0.166666666666667,5.51894682621832
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,8,0.333333333333333,4.95081485992318
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,24,1,3.91912483989591
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,48,2,3.43203591370489
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,144,6,2.40615011646557
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,240,10,1.68007672847944
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,336,14,1.16268280674331
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,504,21,0.598813439802331
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","100",0.3,672,28,0.302502803120256
