"Drug","Design","N_per_group","Number_of_dose_groups","Total_animals","Probability_within_2fold","Probability_per_animal"
"Atezolizumab","2 dose groups",2,2,4,1,0.25
"Atezolizumab","2 dose groups",3,2,6,1,0.166666666666667
"Atezolizumab","2 dose groups",4,2,8,1,0.125
"Atezolizumab","2 dose groups",5,2,10,1,0.1
"Atezolizumab","3 dose groups",2,3,6,1,0.166666666666667
"Atezolizumab","3 dose groups",3,3,9,1,0.111111111111111
"Atezolizumab","3 dose groups",4,3,12,1,0.0833333333333333
"Atezolizumab","3 dose groups",5,3,15,1,0.0666666666666667
"Avelumab","2 dose groups",2,2,4,1,0.25
"Avelumab","2 dose groups",3,2,6,1,0.166666666666667
"Avelumab","2 dose groups",4,2,8,1,0.125
"Avelumab","2 dose groups",5,2,10,1,0.1
"Avelumab","3 dose groups",2,3,6,1,0.166666666666667
"Avelumab","3 dose groups",3,3,9,1,0.111111111111111
"Avelumab","3 dose groups",4,3,12,1,0.0833333333333333
"Avelumab","3 dose groups",5,3,15,1,0.0666666666666667
"Nivolumab","2 dose groups",2,2,4,1,0.25
"Nivolumab","2 dose groups",3,2,6,1,0.166666666666667
"Nivolumab","2 dose groups",4,2,8,1,0.125
"Nivolumab","2 dose groups",5,2,10,1,0.1
"Nivolumab","3 dose groups",2,3,6,1,0.166666666666667
"Nivolumab","3 dose groups",3,3,9,1,0.111111111111111
"Nivolumab","3 dose groups",4,3,12,1,0.0833333333333333
"Nivolumab","3 dose groups",5,3,15,1,0.0666666666666667
"Pembrolizumab","2 dose groups",2,2,4,1,0.25
"Pembrolizumab","2 dose groups",3,2,6,1,0.166666666666667
"Pembrolizumab","2 dose groups",4,2,8,1,0.125
"Pembrolizumab","2 dose groups",5,2,10,1,0.1
"Pembrolizumab","3 dose groups",2,3,6,1,0.166666666666667
"Pembrolizumab","3 dose groups",3,3,9,1,0.111111111111111
"Pembrolizumab","3 dose groups",4,3,12,1,0.0833333333333333
"Pembrolizumab","3 dose groups",5,3,15,1,0.0666666666666667
