"Drug","Design","N_per_group","Total_animals","Dose_mgkg","Endpoint","Fraction_within_2fold","Median_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile"
"Atezolizumab","2 dose groups",2,4,0.3,"AUC0-28d",1,0.996871734820087,0.764352571851504,1.23887542096601
"Atezolizumab","2 dose groups",2,4,0.3,"Cmax",1,0.977938720066155,0.723893202867528,1.33280433111427
"Atezolizumab","2 dose groups",2,4,0.3,"Terminal clearance",1,0.978508795863295,0.700662355793633,1.31452325174762
"Atezolizumab","2 dose groups",2,4,10,"AUC0-28d",1,1.01282879096833,0.761671974571696,1.29104849328878
"Atezolizumab","2 dose groups",2,4,10,"Cmax",1,0.980644395572657,0.721787932005911,1.32726452491937
"Atezolizumab","2 dose groups",2,4,10,"Terminal clearance",0.998,0.962808240214592,0.65338332942111,1.33497652556389
"Atezolizumab","2 dose groups",3,6,0.3,"AUC0-28d",1,1.0086744820529,0.820603235267317,1.23068906059413
"Atezolizumab","2 dose groups",3,6,0.3,"Cmax",1,0.985396951817956,0.776340740172585,1.27067273333486
"Atezolizumab","2 dose groups",3,6,0.3,"Terminal clearance",1,0.984858815876197,0.746492556275337,1.28154519230232
"Atezolizumab","2 dose groups",3,6,10,"AUC0-28d",1,1.00597509515348,0.820267074263262,1.22725187674144
"Atezolizumab","2 dose groups",3,6,10,"Cmax",1,0.983806357582931,0.763840562888111,1.30821578196575
"Atezolizumab","2 dose groups",3,6,10,"Terminal clearance",1,0.977590171307308,0.720826781293424,1.31240958519649
"Atezolizumab","2 dose groups",4,8,0.3,"AUC0-28d",1,1.0027390648682,0.849885446645041,1.1967424789744
"Atezolizumab","2 dose groups",4,8,0.3,"Cmax",1,0.983786322476445,0.790072004511388,1.24125512582647
"Atezolizumab","2 dose groups",4,8,0.3,"Terminal clearance",1,0.985593588368163,0.766127533077471,1.2475831872684
"Atezolizumab","2 dose groups",4,8,10,"AUC0-28d",1,1.00252791460463,0.833381062198698,1.19493775907446
"Atezolizumab","2 dose groups",4,8,10,"Cmax",1,0.995227988311736,0.79521453843011,1.2414680991804
"Atezolizumab","2 dose groups",4,8,10,"Terminal clearance",1,0.983976933767048,0.764800971395267,1.24392511828301
"Atezolizumab","3 dose groups",2,6,0.3,"AUC0-28d",1,0.996224232132743,0.761172261636702,1.26129485716795
"Atezolizumab","3 dose groups",2,6,0.3,"Cmax",1,0.973453452649388,0.733750764033383,1.32558792207447
"Atezolizumab","3 dose groups",2,6,0.3,"Terminal clearance",1,0.965151029939153,0.699973165282845,1.34503393250407
"Atezolizumab","3 dose groups",2,6,3,"AUC0-28d",1,1.00502558870483,0.782405961812663,1.24601714264166
"Atezolizumab","3 dose groups",2,6,3,"Cmax",1,0.984909036147968,0.720033084181364,1.34773139623229
"Atezolizumab","3 dose groups",2,6,3,"Terminal clearance",0.997,0.980896042279029,0.689447547344182,1.35731373810828
