"Drug","Dose_mgkg","Endpoint","Reference_value","Reference_CV_percent"
"Atezolizumab",0.3,"AUC0-28d",1128.18774639247,21.1967239250489
"Atezolizumab",0.3,"Cmax",7.61974297102118,27.4553728299008
"Atezolizumab",0.3,"Terminal clearance",0.021049772933395,28.6124450195208
"Atezolizumab",3,"AUC0-28d",11741.2129453991,21.8329513063998
"Atezolizumab",3,"Cmax",76.2016689943649,27.4559270495796
"Atezolizumab",3,"Terminal clearance",0.0200547568647561,30.4411659809283
"Atezolizumab",10,"AUC0-28d",39575.6998745005,21.9103874792976
"Atezolizumab",10,"Cmax",254.015162694525,27.455593458712
"Atezolizumab",10,"Terminal clearance",0.0197124304410865,31.0731828953906
"Avelumab",0.3,"AUC0-28d",238.538935469241,29.2716032346218
"Avelumab",0.3,"Cmax",7.00690115165445,32.7068385966375
"Avelumab",0.3,"Terminal clearance",0.11489030339872,30.7436272224121
"Avelumab",3,"AUC0-28d",2777.68798603648,30.7973399103877
"Avelumab",3,"Cmax",70.1044243716993,32.6841446138461
"Avelumab",3,"Terminal clearance",0.0997107585774947,33.2594567385849
"Avelumab",10,"AUC0-28d",9429.41152915851,30.9525253923959
"Avelumab",10,"Cmax",233.690629207054,32.6823696942955
"Avelumab",10,"Terminal clearance",0.0979794680012325,33.6977171342746
"Nivolumab",0.3,"AUC0-28d",1445.38948787915,24.5487757640422
"Nivolumab",0.3,"Cmax",9.85021312916407,31.8729364488949
"Nivolumab",0.3,"Terminal clearance",0.016959941847359,29.2493038814469
"Nivolumab",3,"AUC0-28d",14482.0048730013,24.5486958032262
"Nivolumab",3,"Cmax",98.5020318203874,31.8728685098541
"Nivolumab",3,"Terminal clearance",0.0168993604587481,29.3259525411143
"Nivolumab",10,"AUC0-28d",48281.4695930033,24.5481031064768
"Nivolumab",10,"Cmax",328.340079623575,31.8728631332728
"Nivolumab",10,"Terminal clearance",0.0168935144590353,29.3308619176923
"Pembrolizumab",0.3,"AUC0-28d",1511.96127282036,30.6895826964062
"Pembrolizumab",0.3,"Cmax",21.2672682634417,40.3466265629223
"Pembrolizumab",0.3,"Terminal clearance",0.0170510288165564,34.1040720848572
"Pembrolizumab",3,"AUC0-28d",15129.7698539708,30.7027820947919
"Pembrolizumab",3,"Cmax",212.67246529852,40.3466041890732
"Pembrolizumab",3,"Terminal clearance",0.0170298930828874,34.1713984935801
"Pembrolizumab",10,"AUC0-28d",50435.2502880829,30.7038370803321
"Pembrolizumab",10,"Cmax",708.908160546729,40.346602409413
"Pembrolizumab",10,"Terminal clearance",0.0170281707099934,34.1768518122798
