"Drug","MW","IndividualId","CL_L_h_kg","Vc_L_kg","Q_L_h_kg","Vp_L_kg","Rtot_nM","kdeg_h","kint_h","Kss_nM"
"Atezolizumab",144000,1,0.000258260372411871,0.0349678307508919,0.00152766471340665,0.020701327979154,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,2,0.000267955331549638,0.0578043397431683,0.000814714994246224,0.0176846912391974,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,3,0.000206779215795225,0.0566824972610344,0.000930645625850993,0.0134601491002862,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,4,0.000310144353657796,0.0446081575054485,0.00111084781055258,0.029826467266847,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,5,0.00034674125776861,0.0443099324339088,0.000982545337040882,0.0228624531284356,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,6,0.000322081845748196,0.0441949974351771,0.00103516584371411,0.0241009431002682,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,7,0.000253119955848925,0.0512213120234241,0.00145812142878182,0.0142060311905938,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,8,0.000179341430824724,0.058959291347277,0.00146899172126514,0.0230979965984164,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,9,0.000303687769513051,0.053843569525499,0.00130863954039254,0.0268494915263196,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,10,0.000207792795996986,0.059129718358098,0.00091768587153318,0.0140233236806108,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,11,0.000345409068488694,0.0441032453132346,0.000457895877870434,0.014778098708185,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,12,0.000205902462676116,0.0358117703150574,0.000754993555427612,0.0258658131479336,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,13,0.000263829603394119,0.0472071627542965,0.000740413353898613,0.0101653728763913,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,14,0.000139811370709571,0.0285860789903667,0.00120162649520745,0.0251061716339928,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,15,0.000162211723127392,0.0473032260842514,0.00114603850674136,0.0235978257972534,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,16,0.000182198043342133,0.039638063335367,0.0010186863725443,0.0445704629262179,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,17,0.000243376604345606,0.0406510689475078,0.000646765057813645,0.0273567002817486,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,18,0.000217742380092426,0.0424208121798698,0.000860423117123273,0.0174204480108912,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,19,0.000155056754563367,0.0441151614427545,0.0011086200247254,0.0335634490845278,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,20,0.000261387041963743,0.0247981373584043,0.000755629076243294,0.0382913533880119,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,21,0.000285858583242454,0.0510119526761377,0.00072010383161919,0.0558447899939943,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,22,0.000178277848096077,0.0449611539817611,0.00109763970403948,0.0295507305265085,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,23,0.000183519274898595,0.0486803777310121,0.000522473663650018,0.0154036124198035,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,24,8.54190204748034e-05,0.0590826484823067,0.00143427432819138,0.0211165518455955,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,25,0.00024255175609235,0.0629720681259707,0.00108096218025253,0.0503333566376484,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,26,0.000453112981058258,0.0291250318714425,0.000880235044313914,0.0209834109513018,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,27,0.000329149833837931,0.025998714903641,0.00157263577237661,0.0309308798072863,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,28,0.000179901047052493,0.0331858565014228,0.000989018196116756,0.0413663594450737,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,29,0.000274370567157362,0.0449418358625769,0.000601099095982417,0.0154832645496533,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,30,0.000257313352546331,0.0312427081434321,0.00062065764652728,0.0223035697120983,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,31,0.000209153981046354,0.0431837902962173,0.0012825914910528,0.0184653315673241,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,32,0.000348174816196689,0.0389207735269724,0.000586584495610583,0.0261533568886633,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,33,0.00025450392262077,0.0424939510248752,0.000301821719413126,0.0147209643307274,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,34,0.000261995349212077,0.0252237010174462,0.0015680094712396,0.0241425937716947,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,35,0.000365892214773894,0.0380244722012085,0.000427313385115239,0.0160712911019101,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,36,0.000173411419769284,0.0473650038268368,0.00110475392500871,0.0191790780594298,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,37,0.000210116236801113,0.0332337822305436,0.000935139609563832,0.016726473092438,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,38,0.000105158425837847,0.0396595044569575,0.000976896300497199,0.0173961478871197,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,39,0.000156696009698441,0.0568252035156666,0.00137264528604272,0.0170342441902156,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,40,0.000192289444174372,0.0317025948968243,0.000580965274571268,0.0355474826138022,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,41,0.000219226029863877,0.0365819815592202,0.00138289070168989,0.0275045203884054,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,42,0.00022208199492932,0.0388945130328005,0.00164316955953647,0.011117208886851,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,43,0.000242786542922065,0.022142694883992,0.000559861161276915,0.0197095011947226,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,44,0.000164073870909859,0.0286540174772848,0.000792711494674302,0.0468062340591013,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,45,0.00025987497993488,0.0379038976492111,0.000872140587227606,0.0235561231763933,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,46,0.000141686635298659,0.052153400460112,0.00191505916159055,0.0220137702572233,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,47,0.00031146506213276,0.0295928153264511,0.000771439182876076,0.0483244953865541,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,48,0.000271283780304129,0.0358055110312563,0.000854011517979724,0.0275294843398379,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,49,0.000237773273345983,0.0389911528954286,0.00135480593595345,0.0273813734267232,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,50,0.00019745271315214,0.0388402021392381,0.000802961929308006,0.0109407143245803,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,51,0.000348616996347058,0.0453581266714638,0.00109117286859871,0.0263402025140173,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,52,0.000166542063967768,0.0446058686771616,0.000893624049563782,0.0335692691310616,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,53,0.000166397621135219,0.0604414267042667,0.000739559295581026,0.0277679187324175,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,54,0.000255867803458701,0.0349041764134151,0.000640581397770374,0.0284845144618703,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,55,0.000133583321177056,0.0450291818762526,0.00051100332777264,0.0273413585104785,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,56,0.000177640319814329,0.0434327165426731,0.00115569771255881,0.0391049084948961,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,57,0.000299289280187802,0.028963226834247,0.000649837731678913,0.0327597922239885,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,58,0.000143388280423865,0.0544154566044228,0.00064541297107652,0.033392915286847,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,59,0.000207821601842284,0.0428432298579244,0.00129094301039701,0.033713120955988,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,60,0.0002313117293051,0.0413660551733314,0.000740552282129147,0.0293058457571187,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,61,0.000193158387428995,0.0342595045301982,0.000706061401144049,0.0239062631781122,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,62,0.000198911783075165,0.0457948788070291,0.000660751789844451,0.0231187908208653,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,63,0.000204843353749828,0.0357828969027486,0.000462773986932397,0.0290306061430628,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,64,0.000203966918901264,0.0229019508934959,0.000546480423899206,0.030423230422052,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,65,0.000187442007482192,0.0445571026323442,0.00072758341162716,0.0290743691924551,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,66,0.000320268611143327,0.0353458460571263,0.00167215640643625,0.0262353542764367,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,67,0.000220037057555947,0.0451673377802341,0.000573621933466102,0.0357676791355228,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,68,0.000295147993182664,0.0501584259066997,0.000840821846871686,0.0222415627930012,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,69,0.000199180469106201,0.0459658511477535,0.00034658942054328,0.0119089987277306,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,70,0.000154641344045133,0.0380721057895455,0.000742704796473164,0.0391883986911218,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,71,0.000206068002460796,0.0528459748273885,0.000675700543834712,0.0111492902569525,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,72,0.000295599127965941,0.0203219924854336,0.00113972372016765,0.0324636964347137,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,73,0.000153767645448309,0.0405096696126508,0.000677493571322021,0.0327581154375572,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,74,0.000336090446901451,0.0312229793680713,0.000782680782110811,0.0203508235405019,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,75,0.000233938476804019,0.0351562061726094,0.000363738332471656,0.0392328784997085,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,76,0.000255236869824863,0.0499209406512592,0.00179037444863267,0.0385917106514432,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,77,0.000102920263382912,0.0429794437884706,0.000863782176550913,0.023199412834564,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,78,0.000188581061953045,0.0685075943100137,0.000719260981189678,0.0272524594654736,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,79,0.00028883330781782,0.028801946041561,0.000738767832983066,0.0283719951509428,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,80,0.000145380891085896,0.0541464183295567,0.000446506272283258,0.0244366186063123,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,81,0.000446515847577486,0.0340756224984872,0.000482380397699236,0.0186008676757299,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,82,0.000262293408009677,0.0268524513664585,0.000884656174892642,0.0182628277389196,0.609,0.0426,0.606,621.638888888889
